 Ground state dipole moment in X,Y,Z:   -0.000000    0.000000   -1.327290 a.u.

 Transition dipole moment between ground state (0) and excited states (a.u.)
     i     j         X             Y             Z        Diff.(eV)   Oscil.str
     0     1    -0.0000000    -0.0000000    -0.0000000     2.64130     0.00000
     0     2     0.0000000    -0.0000000     0.8563857     6.59250     0.11845
     0     3     0.0963735    -0.0000000    -0.0000000     6.64260     0.00151
     0     4     0.0000000     0.2800314    -0.0000000     6.90950     0.01327
     0     5     0.0000000    -0.3586081    -0.0000000     7.43100     0.02341
     0     6     0.0000000    -0.0000000    -0.4021944     8.04060     0.03187
     0     7     0.0000000     0.0000000     0.0000000     8.19040     0.00000
     0     8    -0.0000000     0.0000000    -0.0000000     8.58580     0.00000
     0     9    -0.3315971     0.0000000    -0.0000000     8.62080     0.02322
     0    10    -0.6187412    -0.0000000     0.0000000     9.27690     0.08701
     0    11     0.0000000     0.0000000    -0.0000000     9.74870     0.00000
     0    12    -0.0000000     0.2376509    -0.0000000    10.00010     0.01384
     0    13     0.0000000    -0.0000000    -0.0403213    10.39290     0.00041
     0    14    -0.0000000    -0.0000000     0.3493841    10.81920     0.03236
     0    15     0.0000000    -0.3438710     0.0000000    10.95410     0.03173
     0    16    -0.0000000     0.0000000    -0.0309731    11.34990     0.00027
     0    17     0.2600396     0.0000000     0.0000000    11.66340     0.01932
     0    18    -0.0000000     0.0113011    -0.0000000    11.70780     0.00004
     0    19     0.0000000    -0.0000000    -1.1204011    11.87250     0.36513
     0    20     0.0000000    -0.3474904    -0.0000000    11.96650     0.03540
     0    21    -0.0000000    -0.5826119     0.0000000    12.18870     0.10136
     0    22     0.0000000    -0.0000000     0.0000000    12.33200     0.00000
     0    23    -0.1782821    -0.0000000     0.0000000    12.50310     0.00974
     0    24     0.0000000     0.0000000    -0.0000000    12.52640     0.00000
     0    25    -0.1398021    -0.0000000     0.0000000    12.68630     0.00607
     0    26    -0.0000000    -0.3895051     0.0000000    13.00110     0.04832
     0    27    -0.0000000    -0.0000000    -0.4843131    13.23480     0.07606
     0    28     0.1456602    -0.0000000     0.0000000    13.52790     0.00703
     0    29     0.0000000     0.0000000     0.3426255    13.60970     0.03914
     0    30     0.0000000     0.0000000     0.0000000    13.86370     0.00000
 
 Note: In below output the case of i=j corresponds to electronic contribution to dipole moment of excited state i
 Transition dipole moment between excited states (a.u.):
     i     j         X             Y             Z        Diff.(eV)   Oscil.str
     1     1     0.0000000     0.0000000    -3.4909057     0.00000     0.00000
     1     2     0.0000000     0.0000000     0.0000000     3.95120     0.00000
     1     3    -0.0000000     0.0056714    -0.0000000     4.00130     0.00000
     1     4    -0.4091039    -0.0000000    -0.0000000     4.26820     0.01750
     1     5    -0.3065414    -0.0000000     0.0000000     4.78970     0.01103
     1     6     0.0000000     0.0000000     0.0000000     5.39930     0.00000
     1     7     0.0000000     0.0000000     0.9954113     5.54910     0.13471
     1     8     0.0000000    -0.0000000     0.2393898     5.94450     0.00835
     1     9    -0.0000000    -0.0117033    -0.0000000     5.97950     0.00002
     1    10     0.0000000     0.0288596     0.0000000     6.63560     0.00014
     1    11     0.0000000     0.0000000    -0.0154729     7.10740     0.00004
     1    12     0.5209955    -0.0000000     0.0000000     7.35880     0.04894
     1    13     0.0000000    -0.0000000     0.0000000     7.75160     0.00000
     1    14     0.0000000    -0.0000000     0.0000000     8.17790     0.00000
     1    15     0.0616707     0.0000000    -0.0000000     8.31280     0.00077
     1    16    -0.0000000     0.0000000    -0.0000000     8.70860     0.00000
     1    17    -0.0000000    -0.0707862    -0.0000000     9.02210     0.00111
     1    18     0.3789426     0.0000000     0.0000000     9.06650     0.03190
     1    19     0.0000000    -0.0000000     0.0000000     9.23120     0.00000
     1    20    -0.0243096    -0.0000000    -0.0000000     9.32520     0.00014
     1    21    -0.0247542    -0.0000000    -0.0000000     9.54740     0.00014
     1    22     0.0000000     0.0000000    -0.2057311     9.69070     0.01005
     1    23    -0.0000000     0.0411362     0.0000000     9.86180     0.00041
     1    24    -0.0000000    -0.0000000    -0.0113961     9.88510     0.00003
     1    25    -0.0000000    -0.0092156    -0.0000000    10.04500     0.00002
     1    26    -0.0272828    -0.0000000    -0.0000000    10.35980     0.00019
     1    27    -0.0000000    -0.0000000    -0.0000000    10.59350     0.00000
     1    28     0.0000000    -0.0982159    -0.0000000    10.88660     0.00257
     1    29    -0.0000000    -0.0000000    -0.0000000    10.96840     0.00000
     1    30     0.0000000     0.0000000     0.0237892    11.22240     0.00016
     2     2    -0.0000000     0.0000000    -3.9031415     0.00000     0.00000
     2     3     0.0263009    -0.0000000     0.0000000     0.05010     0.00000
     2     4     0.0000000    -0.0855282    -0.0000000     0.31700     0.00006
