 Note: The dipole moments shown below include both nuclear charge and electronic contributions
 Ground state dipole moment in X,Y,Z:    0.000000   -0.000000    0.253077 a.u.

 Excited state dipole moments (a.u.):
  State         X             Y             Z        exc.(eV)    exc.(nm)
     1     -0.000000      0.000000     -0.404554      5.1557      240.48
     2     -0.000000     -0.000000      0.386661      5.3908      229.99
     3      0.000000     -0.000000      0.636520      6.0225      205.87
     4      0.000000      0.000000     -0.855843      6.1729      200.85
     5      0.000000     -0.000000     -1.509427      7.8583      157.77
     6     -0.000000     -0.000000     -1.349866      9.2744      133.68
     7     -0.000000     -0.000000      0.012737      9.6700      128.22
     8      0.000000     -0.000000     -1.136912     10.0023      123.96
     9     -0.000000     -0.000000     -0.543551     10.4816      118.29
    10      0.000000      0.000000     -2.869695     11.3639      109.10
    11      0.000000     -0.000000      0.603077     12.2137      101.51
    12      0.000000      0.000000      1.862311     14.2330       87.11
    13     -0.000000     -0.000000      1.777433     14.2614       86.94
    14     -0.000000     -0.000000      2.714782     14.5244       85.36
    15      0.000000      0.000000      1.641850     15.1327       81.93
    16     -0.000000      0.000000      1.450851     15.2003       81.57
    17     -0.000000      0.000000      0.179069     15.3599       80.72
    18      0.000000     -0.000000      0.004908     15.4437       80.28
    19      0.000000      0.000000     -1.037823     16.0349       77.32
    20      0.000000      0.000000      0.844510     16.0355       77.32
    21      0.000000     -0.000000      0.699125     17.0067       72.90
    22     -0.000000     -0.000000      3.351349     17.6317       70.32
    23      0.000000     -0.000000      0.771079     17.7909       69.69
    24      0.000000     -0.000000     -1.784273     18.2565       67.91
    25     -0.000000      0.000000      0.873834     18.2852       67.81
    26     -0.000000     -0.000000      0.982870     18.5304       66.91
    27     -0.000000     -0.000000      0.419857     18.7202       66.23
    28      0.000000      0.000000      0.700331     18.7590       66.09
    29      0.000000     -0.000000      0.631417     18.7772       66.03
    30      0.000000     -0.000000      1.351795     18.7805       66.02
