 Note: The dipole moments shown below include both nuclear charge and electronic contributions
 Ground state dipole moment in X,Y,Z:    0.000000    0.000000   -1.292919 a.u.

 Excited state dipole moments (a.u.):
  State         X             Y             Z        exc.(eV)    exc.(nm)
     1      0.000000      0.000000      0.129501      2.7872      444.83
     2      0.000000      0.000000     -0.137025      6.9080      179.48
     3      0.000000      0.000000     -0.199340      6.9161      179.27
     4      0.000000      0.000000      3.106385      6.9363      178.75
     5     -0.000000      0.000000     -0.746293      7.5173      164.93
     6      0.000000      0.000000      1.347872      8.0324      154.36
     7      0.000000      0.000000     -2.264836      8.3589      148.33
     8      0.000000      0.000000      1.180120      8.5743      144.60
     9      0.000000      0.000000      2.780358      8.8117      140.70
    10      0.000000      0.000000     -1.192081      9.5194      130.24
    11      0.000000      0.000000      1.027231      9.9045      125.18
    12     -0.000000      0.000000      2.773917     10.1028      122.72
    13      0.000000      0.000000      0.761601     10.5548      117.47
    14      0.000000      0.000000      2.662820     10.9445      113.28
    15     -0.000000      0.000000     -1.080023     11.2703      110.01
    16      0.000000      0.000000      0.161173     11.4853      107.95
    17      0.000000      0.000000     -2.270415     11.7611      105.42
    18     -0.000000      0.000000      2.209520     11.8878      104.30
    19     -0.000000      0.000000      0.293696     11.9608      103.66
    20      0.000000      0.000000      1.246974     12.0696      102.72
    21      0.000000      0.000000      1.105811     12.2475      101.23
    22      0.000000      0.000000     -1.640018     12.3468      100.42
    23     -0.000000      0.000000      1.065498     12.6036       98.37
    24      0.000000      0.000000      0.193685     12.7395       97.32
    25     -0.000000      0.000000     -3.153229     13.0985       94.66
    26     -0.000000      0.000000     -1.091590     13.2116       93.84
    27      0.000000     -0.000000     -1.131222     13.2271       93.73
    28      0.000000      0.000000     -0.945035     13.6493       90.84
    29      0.000000     -0.000000     -3.137062     13.7113       90.42
    30     -0.000000      0.000000     -0.959526     13.8897       89.26
