 Note: The dipole moments shown below include both nuclear charge and electronic contributions
 Ground state dipole moment in X,Y,Z:   -0.000000    0.000000   -0.547545 a.u.

 Excited state dipole moments (a.u.):
  State         X             Y             Z        exc.(eV)    exc.(nm)
     1      0.000000      0.000000     -0.208590      5.0544      245.30
     2     -0.000000     -0.000000      1.086680      6.3937      193.92
     3     -0.000000      0.000000     -0.413485      7.1835      172.60
     4     -0.000000     -0.000000     -0.159692      7.3247      169.27
     5     -0.000000      0.000000     -0.321012      7.8637      157.67
     6      0.000000      0.000000      1.480390     10.1947      121.62
     7     -0.000000     -0.000000     -3.330134     10.7482      115.35
     8      0.000000     -0.000000     -0.391640     11.5498      107.35
     9     -0.000000      0.000000      1.107438     11.5871      107.00
    10      0.000000      0.000000     -1.552684     11.7920      105.14
    11      0.000000      0.000000     -0.510894     12.1527      102.02
    12      0.000000      0.000000      1.697304     12.6329       98.14
    13     -0.000000      0.000000      1.730165     12.8202       96.71
    14      0.000000      0.000000     -0.233035     12.8858       96.22
    15     -0.000000     -0.000000     -2.469007     13.2084       93.87
    16     -0.000000     -0.000000      2.204928     13.3757       92.69
    17      0.000000      0.000000      0.424004     13.5078       91.79
    18      0.000000     -0.000000      0.763035     13.5142       91.74
    19     -0.000000     -0.000000      1.296714     13.7036       90.48
    20     -0.000000      0.000000      0.354106     13.7080       90.45
    21     -0.000000      0.000000      0.946507     14.3258       86.55
    22     -0.000000      0.000000      1.342317     14.3725       86.26
    23      0.000000     -0.000000     -0.061010     14.4733       85.66
    24     -0.000000      0.000000     -0.566214     15.2459       81.32
    25      0.000000      0.000000      0.111242     15.4109       80.45
    26     -0.000000     -0.000000      1.651659     15.4180       80.42
    27      0.000000     -0.000000      0.106435     15.4886       80.05
    28     -0.000000      0.000000     -0.154398     15.8381       78.28
    29      0.000000      0.000000      2.499498     16.0709       77.15
    30      0.000000      0.000000      1.298279     16.1447       76.80
