# A0	H_PF	H_EL	H_PH	H_INT	H_DSE
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.100000 0.677642 0.016251 0.062449 -0.147307 0.746249
0.200000 1.323863 0.060791 0.126344 -0.337174 1.473902
0.300000 1.941598 0.128584 0.192900 -0.565696 2.185810
0.400000 2.533280 0.215809 0.263043 -0.829743 2.884172
0.500000 3.100968 0.319459 0.337492 -1.126718 3.570734
0.600000 3.646434 0.437108 0.416808 -1.454406 4.246923
0.700000 4.171226 0.566758 0.501434 -1.810885 4.913919
0.800000 4.676711 0.706734 0.591718 -2.194459 5.572717
0.900000 5.164103 0.855619 0.687930 -2.603608 6.224163
1.000000 5.634497 1.012197 0.790279 -3.036964 6.868985
1.100000 6.088876 1.175415 0.898925 -3.493277 7.507814
1.200000 6.528138 1.344357 1.013982 -3.971403 8.141202
1.300000 6.953101 1.518220 1.135530 -4.470282 8.769633
1.400000 7.364513 1.696296 1.263618 -4.988934 9.393534
1.500000 7.763067 1.877957 1.398270 -5.526445 10.013285
1.600000 8.149399 2.062647 1.539488 -6.081959 10.629223
1.700000 8.524100 2.249871 1.687256 -6.654675 11.241650
1.800000 8.887720 2.439183 1.841540 -7.243840 11.850837
1.900000 9.240769 2.630188 2.002295 -7.848741 12.457027
2.000000 9.583724 2.822529 2.169464 -8.468709 13.060440
2.100000 9.917032 3.015887 2.342981 -9.103108 13.661273
2.200000 10.241111 3.209973 2.522770 -9.751338 14.259706
2.300000 10.556354 3.404530 2.708750 -10.412829 14.855902
2.400000 10.863128 3.599323 2.900834 -11.087038 15.450009
2.500000 11.161783 3.794145 3.098929 -11.773452 16.042162
2.600000 11.452646 3.988804 3.302939 -12.471582 16.632484
2.700000 11.736025 4.183132 3.512767 -13.180960 17.221087
2.800000 12.012214 4.376974 3.728311 -13.901144 17.808073
2.900000 12.281489 4.570194 3.949467 -14.631710 18.393538
3.000000 12.544113 4.762666 4.176133 -15.372254 18.977568
3.100000 12.800333 4.954281 4.408203 -16.122392 19.560241
3.200000 13.050386 5.144938 4.645572 -16.881755 20.141631
3.300000 13.294496 5.334548 4.888135 -17.649992 20.721806
3.400000 13.532876 5.523030 5.135787 -18.426768 21.300827
3.500000 13.765730 5.710316 5.388423 -19.211760 21.878751
3.600000 13.993249 5.896339 5.645939 -20.004661 22.455632
3.700000 14.215618 6.081046 5.908233 -20.805179 23.031518
3.800000 14.433012 6.264387 6.175203 -21.613031 23.606454
3.900000 14.645600 6.446317 6.446747 -22.427948 24.180483
4.000000 14.853540 6.626800 6.722769 -23.249673 24.753644
4.100000 15.056987 6.805803 7.003168 -24.077957 25.325973
4.200000 15.256085 6.983297 7.287849 -24.912564 25.897503
4.300000 15.450975 7.159258 7.576718 -25.753267 26.468266
4.400000 15.641790 7.333666 7.869681 -26.599848 27.038291
4.500000 15.828658 7.506504 8.166647 -27.452098 27.607605
4.600000 16.011703 7.677759 8.467527 -28.309817 28.176234
4.700000 16.191042 7.847421 8.772232 -29.172812 28.744201
4.800000 16.366788 8.015480 9.080677 -30.040899 29.311529
4.900000 16.539049 8.181932 9.392778 -30.913900 29.878239
5.000000 16.707929 8.346773 9.708451 -31.791645 30.444350
