# A0	H_PF	H_EL	H_PH	H_INT	H_DSE
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.010000 0.010712 0.002377 0.002045 -0.008841 0.015132
0.020000 0.042836 0.009514 0.008178 -0.035350 0.060494
0.030000 0.096333 0.021430 0.018400 -0.079484 0.135988
0.040000 0.171138 0.038153 0.032709 -0.141173 0.241450
0.050000 0.267162 0.059724 0.051106 -0.220321 0.376653
0.060000 0.384290 0.086195 0.073590 -0.316804 0.541310
0.070000 0.522384 0.117629 0.100158 -0.430477 0.735074
0.080000 0.681281 0.154096 0.130812 -0.561171 0.957545
0.090000 0.860798 0.195676 0.165550 -0.708697 1.208269
0.100000 1.060729 0.242459 0.204373 -0.872848 1.486745
0.110000 1.280848 0.294538 0.247281 -1.053401 1.792430
0.120000 1.520910 0.352016 0.294275 -1.250119 2.124737
0.130000 1.780650 0.414998 0.345357 -1.462753 2.483048
0.140000 2.059789 0.483595 0.400528 -1.691044 2.866711
0.150000 2.358031 0.557921 0.459792 -1.934727 3.275045
0.160000 2.675065 0.638093 0.523152 -2.193529 3.707349
0.170000 3.010567 0.724227 0.590613 -2.467171 4.162899
0.180000 3.364201 0.816443 0.662177 -2.755372 4.640954
0.190000 3.735621 0.914859 0.737850 -3.057848 5.140759
0.200000 4.124467 1.019595 0.817635 -3.374312 5.661549
0.210000 4.530376 1.130766 0.901535 -3.704475 6.202549
0.220000 4.952972 1.248489 0.989554 -4.048048 6.762977
0.230000 5.391875 1.372878 1.081691 -4.404738 7.342045
0.240000 5.846699 1.504042 1.177946 -4.774252 7.938963
0.250000 6.317050 1.642092 1.278316 -5.156295 8.552937
0.260000 6.802532 1.787132 1.382795 -5.550568 9.183173
0.270000 7.302745 1.939265 1.491373 -5.956768 9.828876
0.280000 7.817285 2.098588 1.604037 -6.374589 10.489250
0.290000 8.345746 2.265197 1.720767 -6.803720 11.163502
0.300000 8.887720 2.439183 1.841540 -7.243840 11.850837
0.310000 9.442798 2.620631 1.966324 -7.694621 12.550464
0.320000 10.010571 2.809623 2.095080 -8.155725 13.261592
0.330000 10.590628 3.006236 2.227762 -8.626801 13.983431
0.340000 11.182560 3.210541 2.364313 -9.107486 14.715192
0.350000 11.785956 3.422602 2.504666 -9.597397 15.456086
0.360000 12.400411 3.642480 2.648741 -10.096137 16.205326
0.370000 13.025516 3.870229 2.796447 -10.603284 16.962124
0.380000 13.660869 4.105895 2.947680 -11.118397 17.725690
0.390000 14.306066 4.349519 3.102320 -11.641008 18.495235
0.400000 14.960709 4.601135 3.260232 -12.170624 19.269966
