 Ground state dipole moment in X,Y,Z:   -0.000000   -0.000000    0.587431 a.u.

 Transition dipole moment between ground state (0) and excited states (a.u.)
     i     j         X             Y             Z        Diff.(eV)   Oscil.str
     2    29    -0.0000000    -0.0000000     0.0000000    14.60680     0.00000
     2    30    -0.2128413     0.0000000    -0.0000000    14.70340     0.01632
     3     3    -0.0000000     0.0000000    10.1225794     0.00000     0.00000
     3     4    -0.0000000    -0.3115851     0.0000000     0.20480     0.00049
     3     5    -1.1415305     0.0000000     0.0000000     2.75160     0.08785
     3     6    -0.0000000    -0.0000000    -1.2629217     3.23010     0.12622
     3     7    -0.0000000    -1.4274774     0.0000000     3.55030     0.17724
     3     8     0.0000000     0.0000000     1.7927614     3.85040     0.30319
     3     9     0.9832604     0.0000000    -0.0000000     4.39900     0.10420
     3    10     0.0000000    -0.0000000    -0.1227626     4.81680     0.00178
     3    11    -0.0000000     1.3504177     0.0000000     6.78770     0.30326
     3    12    -0.0000000    -0.1164508    -0.0000000     7.84180     0.00261
     3    13     0.0000000     0.0000000    -0.4767687     8.20180     0.04568
     3    14    -0.0000000     0.0000000     0.0000000     8.36530     0.00000
     3    15     0.0000000     0.0000000    -0.0526532     9.01820     0.00061
     3    16    -0.0000000    -0.4851016     0.0000000     9.21360     0.05312
     3    17    -0.0000000    -0.1492168    -0.0000000     9.66570     0.00527
     3    18     0.0000000    -0.0000000    -0.0000000     9.87900     0.00000
     3    19    -0.0000000    -0.0000000     0.0246406    10.52720     0.00016
     3    20     0.0000000     0.9041492    -0.0000000    10.56290     0.21155
     3    21     0.0000000     0.0045183    -0.0000000    11.46110     0.00001
     3    22    -0.0000000    -0.0000000    -0.0000000    11.79520     0.00000
     3    23     0.0000000     0.0000000     0.0130283    12.32230     0.00005
     3    24    -0.0000000    -0.0175258     0.0000000    12.37420     0.00009
     3    25    -0.0000000     0.0753320    -0.0000000    13.16600     0.00183
     3    26     0.0000000    -0.0000000    -0.0000000    13.24990     0.00000
     3    27    -0.0000000    -0.0000000     0.0000000    13.47730     0.00000
     3    28    -0.0000000     0.0000000     0.2254365    13.48010     0.01678
     3    29    -0.0000000     0.0814368    -0.0000000    13.94920     0.00227
     3    30    -0.0000000     0.0000000     0.0609277    14.04580     0.00128
     4     4    -0.0000000     0.0000000     7.8289436     0.00000     0.00000
     4     5    -0.0000000    -0.0000000     0.0000000     2.54680     0.00000
     4     6    -0.0000000    -0.0854118    -0.0000000     3.02530     0.00054
     4     7     0.0000000    -0.0000000    -1.4724120     3.34550     0.17770
