 Note: The dipole moments shown below include both nuclear charge and electronic contributions
 Ground state dipole moment in X,Y,Z:   -0.000000   -0.000000   -0.732097 a.u.

 Excited state dipole moments (a.u.):
  State         X             Y             Z        exc.(eV)    exc.(nm)
     1     -0.000000     -0.000000     -0.259056      4.6459      266.87
     2      0.000000      0.000000      1.429535      6.6225      187.22
     3      0.000000      0.000000     -0.468288      7.4173      167.16
     4     -0.000000     -0.000000      0.110230      7.5695      163.79
     5     -0.000000     -0.000000      0.013582      8.0747      153.55
     6     -0.000000     -0.000000      1.655471     10.2893      120.50
     7     -0.000000     -0.000000      0.756789     10.5654      117.35
     8     -0.000000     -0.000000      0.388076     10.9712      113.01
     9     -0.000000     -0.000000     -3.405912     11.0520      112.18
    10      0.000000     -0.000000     -0.758955     11.6067      106.82
    11      0.000000      0.000000      1.916984     11.6641      106.30
    12      0.000000     -0.000000     -1.614530     12.0673      102.74
    13      0.000000      0.000000      0.876126     12.3021      100.78
    14     -0.000000      0.000000     -0.534434     12.4679       99.44
    15      0.000000      0.000000      0.083022     12.5351       98.91
    16     -0.000000     -0.000000      0.798676     12.5667       98.66
    17     -0.000000     -0.000000      1.991770     12.9113       96.03
    18      0.000000      0.000000      0.204485     13.2594       93.51
    19     -0.000000     -0.000000      1.283806     13.3345       92.98
    20     -0.000000     -0.000000      0.051673     13.4252       92.35
    21     -0.000000     -0.000000     -2.149550     13.5168       91.73
    22      0.000000      0.000000      1.373981     13.6823       90.62
    23     -0.000000     -0.000000      1.052712     13.8969       89.22
    24      0.000000      0.000000     -1.158368     14.5700       85.10
    25     -0.000000     -0.000000      1.426941     14.7423       84.10
    26     -0.000000     -0.000000     -0.139243     14.8663       83.40
    27      0.000000     -0.000000     -0.229610     15.1329       81.93
    28     -0.000000     -0.000000      1.506385     15.4867       80.06
    29      0.000000     -0.000000     -0.742338     15.5732       79.61
    30     -0.000000     -0.000000      2.750168     15.6835       79.05
