 Note: The dipole moments shown below include both nuclear charge and electronic contributions
 Ground state dipole moment in X,Y,Z:   -0.678803   -0.657107    0.014986 a.u.

 Excited state dipole moments (a.u.):
  State         X             Y             Z        exc.(eV)    exc.(nm)
   109     -0.513771      1.567988      0.041081     13.7145       90.40
   110     -1.244292     -0.400780      0.039914     13.7630       90.09
   111      0.445427      0.650639     -0.006977     13.7645       90.08
   112      0.207274      0.335188     -0.002691     13.8202       89.71
   113      0.544598      0.083189     -0.018538     13.8450       89.55
   114     -2.708996      1.624198      0.121881     13.8606       89.45
   115     -2.163346      0.401063      0.084527     13.9539       88.85
   116      0.493276     -0.329636     -0.025551     13.9827       88.67
   117      0.331511     -0.004361     -0.014901     13.9940       88.60
   118      0.723774     -0.360873     -0.031695     14.0026       88.54
   119      1.965561      0.814263     -0.061465     14.0172       88.45
   120      0.357404      0.403092     -0.013514     14.0618       88.17
   121      0.299553     -0.865935     -0.047177     14.0728       88.10
   122      0.157202      0.142055      0.024032     14.0829       88.04
   123     -1.268430      1.166132      0.069009     14.1204       87.81
   124      0.327008     -0.284596     -0.015781     14.1902       87.37
   125     -0.579457     -0.255584      0.017375     14.2035       87.29
   126      0.586659     -0.277226     -0.026356     14.2167       87.21
   127     -1.611651     -0.028081      0.060892     14.2518       87.00
   128     -1.139488      0.383523      0.047595     14.3012       86.69
   129     -1.238009      1.455409      0.065146     14.3141       86.62
   130     -0.601535     -0.267396      0.018179     14.3813       86.21
   131     -2.540052     -0.371556      0.089149     14.4002       86.10
   132      0.064126      0.675425      0.008083     14.4543       85.78
   133     -0.083301     -0.149009     -0.004385     14.4806       85.62
   134     -0.491104      1.274255      0.041825     14.4883       85.58
   135     -0.149056     -0.388916     -0.000772     14.5486       85.22
   136      0.663426     -0.613482     -0.034422     14.5740       85.07
   137      1.093983     -0.252372     -0.043702     14.5900       84.98
   138     -0.403069      0.579544      0.022945     14.6052       84.89
   139     -0.237628     -0.042922      0.009093     14.6321       84.73
   140      0.341504      1.356318      0.007106     14.6390       84.69
   141     -1.230059      0.651567      0.054766     14.6755       84.48
   142      1.125576     -0.668497     -0.051253     14.7369       84.13
   143      0.391237     -0.284482     -0.021461     14.8015       83.76
   144      1.547808      0.412357     -0.052498     14.8302       83.60
   145     -0.373362      1.149750      0.030711     14.8632       83.42
   146     -0.608068      0.200015      0.032329     14.8851       83.29
   147     -0.898299      0.081454      0.027410     14.8898       83.27
   148      0.447021      0.276545     -0.007857     14.9136       83.13
   149      0.613442      0.280797     -0.016829     14.9855       82.74
   150     -2.147320     -0.091021      0.074850     14.9909       82.71
   151     -0.572082      2.226150      0.053397     15.0385       82.44
   152     -1.148983      0.834582      0.053943     15.0645       82.30
   153      0.767768      0.471687     -0.020819     15.1733       81.71
   154      0.137158      0.003391     -0.005651     15.1777       81.69
   155     -0.369087     -0.064137      0.012745     15.2267       81.43
   156     -0.055306     -0.526292     -0.006948     15.3247       80.90
   157     -1.301005      0.563794      0.055268     15.3559       80.74
   158      1.598504     -1.176519     -0.076491     15.3622       80.71
   159     -1.184201      0.557880      0.052227     15.3638       80.70
   160     -1.057217      0.184052      0.041811     15.4029       80.49
   161      0.693051     -0.433284     -0.032109     15.4467       80.27
   162      0.474130      0.152653     -0.014954     15.4681       80.15
   163     -0.611001     -0.647286      0.013233     15.4966       80.01
   164     -2.467740      0.248256      0.092734     15.5372       79.80
   165     -0.048086     -0.962342     -0.012237     15.5898       79.53
   166      1.316739     -0.850659     -0.061983     15.6312       79.32
   167     -0.600574     -0.153922      0.019143     15.6463       79.24
   168     -0.025649      0.072516      0.000969     15.6586       79.18
   169     -0.274399     -0.187165      0.008779     15.6887       79.03
   170     -0.879692      1.307812      0.050666     15.7367       78.79
   171     -0.466649      0.465869      0.022811     15.7620       78.66
   172      0.786638     -1.157162     -0.048060     15.7927       78.51
   173      0.486010      0.185633     -0.014323     15.8040       78.45
   174     -0.407090      0.555200      0.021569     15.8386       78.28
   175      1.215173     -0.412510     -0.047459     15.8405       78.27
   176      0.236757      0.025035     -0.007369     15.9378       77.79
   177     -1.230127      0.135560      0.046646     16.0047       77.47
   178     -1.730450      0.279876      0.066263     16.0183       77.40
   179     -0.152712     -0.377763     -0.000006     16.0674       77.17
   180     -1.769566      0.560347      0.071995     16.1332       76.85
   181     -1.230317      0.496907      0.055174     16.1658       76.70
   182      0.790393     -0.637389     -0.044401     16.1694       76.68
   183     -1.629286      0.507510      0.065197     16.1929       76.57
   184      0.623251     -0.673209     -0.027327     16.2012       76.53
   185      1.406206     -0.487082     -0.058020     16.2528       76.28
   186     -0.397032     -0.757212      0.004036     16.2832       76.14
   187     -0.501073      0.270256      0.022114     16.3389       75.88
   188     -1.048264     -1.041348      0.022730     16.3435       75.86
   189     -1.075053      0.764730      0.051042     16.4162       75.53
   190      0.503798     -0.683073     -0.028558     16.4366       75.43
   191      0.313076     -0.367470     -0.024073     16.4819       75.22
   192      0.464757     -0.047017     -0.029507     16.4913       75.18
   193     -0.147914      0.296430      0.024796     16.5189       75.06
   194     -0.546339     -0.315053      0.017328     16.5285       75.01
   195     -0.258445     -0.852335     -0.001954     16.5529       74.90
   196      0.182229     -0.048781     -0.005366     16.5917       74.73
   197     -0.833810      0.146588      0.031782     16.6680       74.38
   198      1.536090     -0.061029     -0.059131     16.7238       74.14
   199     -0.174899     -0.947560     -0.008977     16.7381       74.07
   200     -0.381798     -1.536256     -0.008420     16.7725       73.92
   201      0.287713     -0.757046      0.062376     16.8093       73.76
   202      0.045723      0.083759     -0.089983     16.8100       73.76
   203     -0.679138      0.251152      0.032854     16.8143       73.74
   204     -0.775031     -0.393980     -0.019670     16.8650       73.52
   205     -1.081804     -0.789010      0.073291     16.8668       73.51
   206     -1.142635      1.474595      0.063336     16.9499       73.15
   207     -0.824001      0.805263      0.041732     17.0238       72.83
   208     -0.442640     -0.114543      0.014566     17.0362       72.78
   209     -2.318356      0.003410      0.084636     17.0556       72.69
   210     -0.803977     -0.731895      0.018032     17.0982       72.51
   211     -0.718898      0.603849      0.034140     17.1340       72.36
   212     -0.041013     -1.152730     -0.016861     17.1561       72.27
   213     -0.274939     -0.065351      0.009123     17.1888       72.13
   214      0.215451      0.202063     -0.005264     17.2097       72.04
   215      0.470065     -0.281498     -0.027405     17.2503       71.87
   216      0.645429     -2.058919     -0.047934     17.2513       71.87
   217     -0.751133      0.228406      0.030421     17.3034       71.65
   218     -0.503257     -0.864134      0.004448     17.3518       71.45
   219     -0.350275     -0.123234      0.009730     17.4405       71.09
   220     -2.308811      0.846508      0.096017     17.4540       71.03
   221     -0.461694     -0.482076      0.009312     17.5057       70.83
   222     -1.400331     -0.164936      0.048401     17.5390       70.69
   223      0.043010     -0.515626     -0.010380     17.5463       70.66
   224      0.164008      0.006833     -0.006897     17.5633       70.59
   225     -0.091121     -0.425108     -0.003884     17.6222       70.36
   226     -0.621075      0.078668      0.022987     17.6291       70.33
   227     -1.434617      0.239358      0.052089     17.6739       70.15
   228     -0.282703     -0.574641      0.001158     17.6855       70.11
   229     -0.289714     -1.056806     -0.003577     17.7206       69.97
   230      0.516362     -0.789048     -0.031854     17.7360       69.91
   231     -0.203686     -0.785403     -0.004789     17.7697       69.77
   232      0.736319     -0.632702     -0.034748     17.7887       69.70
   233     -0.654680     -0.269378      0.020415     17.7982       69.66
   234     -0.091117     -0.043421     -0.001165     17.8651       69.40
   235      0.059468     -1.419680     -0.020952     17.8902       69.30
   236     -0.491457      0.200962      0.026559     17.9157       69.20
   237      0.109980     -0.772439     -0.017189     17.9352       69.13
   238      1.491596     -1.310241     -0.072914     18.0651       68.63
   239     -2.110650     -2.490454      0.054656     18.1001       68.50
   240      0.000245     -0.459602     -0.015918     18.1029       68.49
   241     -1.512685     -0.782075      0.042266     18.1556       68.29
   242     -0.142918     -0.088852      0.005206     18.1760       68.21
   243      0.994304      1.416124     -0.013962     18.2202       68.05
   244      0.208479     -0.569211     -0.018321     18.2897       67.79
   245     -0.949862     -0.723663      0.027403     18.2953       67.77
   246     -0.123144     -1.116701     -0.011279     18.3121       67.71
   247      0.447120     -0.147738     -0.018658     18.3552       67.55
   248     -0.305255     -0.714944     -0.000138     18.4045       67.37
   249     -1.915309     -1.121728      0.049945     18.4107       67.34
   250      0.156629     -0.289123     -0.010942     18.4589       67.17
   251     -0.742597     -0.415060      0.020027     18.4926       67.05
   252     -1.072788     -0.726814      0.026944     18.5755       66.75
   253     -0.098953      0.790653      0.014459     18.6206       66.58
   254     -1.901220      0.376655      0.072983     18.6267       66.56
   255     -1.502349     -0.147771      0.050009     18.6549       66.46
   256      0.339831     -0.739613     -0.019547     18.6591       66.45
   257      0.910798     -0.986639     -0.045797     18.6895       66.34
   258     -1.113159      0.240744      0.043660     18.7167       66.24
   259      0.085421     -1.085317     -0.021106     18.7473       66.13
   260      0.057884      0.534885      0.006017     18.7797       66.02
   261     -0.454556      0.153114      0.018089     18.8334       65.83
   262     -0.210618     -0.052878      0.006048     18.8477       65.78
   263      0.113512     -0.257936     -0.006914     18.9398       65.46
   264     -1.760109     -0.408837      0.055749     18.9424       65.45
   265     -1.166459     -0.353122      0.037614     18.9972       65.26
   266     -1.190079      0.138200      0.045306     19.0458       65.10
   267     -0.090075     -0.873408     -0.009886     19.0508       65.08
   268     -1.097674     -0.343346      0.033877     19.0591       65.05
