0  -3115.0957000401368
1  -3110.172000040137
2  -3108.6186000401367
3  -3107.8270000401367
4  -3107.683200040137
5  -3107.1608000401366
6  -3104.863300040137
7  -3104.2395000401366
8  -3103.853900040137
9  -3103.666600040137
10  -3103.2211000401367
11  -3102.859300040137
12  -3102.8031000401365
13  -3102.643900040137
14  -3102.463600040137
15  -3101.930100040137
16  -3101.916100040137
17  -3101.9019000401368
18  -3101.7721000401366
19  -3101.5487000401367
20  -3101.519100040137
21  -3100.993000040137
22  -3100.974100040137
23  -3100.923600040137
24  -3100.0968000401367
25  -3099.870300040137
26  -3099.826900040137
27  -3099.634900040137
28  -3099.5183000401366
29  -3099.182100040137
30  -3099.1465000401367
