0  -3110.130635450544
1  -3104.6925354505443
2  -3104.092535450544
3  -3103.304835450544
4  -3103.167235450544
5  -3102.4857354505443
6  -3100.1271354505443
7  -3099.806935450544
8  -3098.823935450544
9  -3098.721735450544
10  -3098.014335450544
11  -3097.4317354505442
12  -3097.308935450544
13  -3096.659235450544
14  -3096.1100354505443
15  -3095.994835450544
16  -3095.929835450544
17  -3095.456435450544
18  -3095.455735450544
19  -3095.247935450544
20  -3095.230935450544
21  -3095.101635450544
22  -3095.000235450544
23  -3094.663235450544
24  -3094.412535450544
25  -3094.406735450544
26  -3094.036435450544
27  -3093.7865354505443
28  -3093.5275354505443
29  -3093.5122354505443
30  -3093.506235450544
