0  -2965.252875565618
1  -2960.958375565618
2  -2960.548475565618
3  -2959.747275565618
4  -2959.411575565618
5  -2956.581775565618
6  -2956.548675565618
7  -2956.476775565618
8  -2955.864175565618
9  -2955.222975565618
10  -2955.211675565618
11  -2955.208075565618
12  -2954.613675565618
13  -2953.831675565618
14  -2953.635875565618
15  -2952.454475565618
16  -2951.554475565618
17  -2951.4195755656183
18  -2950.901275565618
19  -2950.833275565618
20  -2950.746975565618
21  -2950.458075565618
22  -2950.240875565618
23  -2949.6360755656183
24  -2949.5780755656183
25  -2949.446475565618
26  -2948.905075565618
27  -2947.113775565618
28  -2947.094175565618
29  -2946.640175565618
30  -2946.5492755656182
