 Note: The dipole moments shown below include both nuclear charge and electronic contributions
 Ground state dipole moment in X,Y,Z:    0.000000    0.000000   -1.139268 a.u.

 Excited state dipole moments (a.u.):
  State         X             Y             Z        exc.(eV)    exc.(nm)
     1      0.000000      0.000000     -0.044527      3.3962      365.07
     2      0.000000     -0.000000      2.421358      6.9406      178.64
     3      0.000000     -0.000000     -0.457963      7.6768      161.51
     4      0.000000      0.000000      1.003805      7.9605      155.75
     5     -0.000000      0.000000      0.098488      8.0198      154.60
     6      0.000000      0.000000     -0.076822      8.2554      150.19
     7     -0.000000      0.000000      0.827211      8.4862      146.10
     8      0.000000      0.000000     -1.843183      9.1647      135.28
     9      0.000000     -0.000000      2.445549      9.6062      129.07
    10     -0.000000     -0.000000      2.330401     10.2837      120.56
    11      0.000000     -0.000000     -0.694523     10.4349      118.82
    12      0.000000      0.000000      0.935238     10.6123      116.83
    13     -0.000000      0.000000      0.681960     11.2925      109.79
    14      0.000000      0.000000      2.452728     11.4223      108.55
    15     -0.000000      0.000000     -3.359615     11.5349      107.49
    16      0.000000      0.000000      0.441775     12.0091      103.24
    17      0.000000      0.000000      0.249799     12.3142      100.68
    18     -0.000000      0.000000     -1.679977     12.3575      100.33
    19      0.000000      0.000000      1.283813     12.4685       99.44
    20      0.000000      0.000000      1.229726     12.5272       98.97
    21     -0.000000     -0.000000      2.007122     12.7294       97.40
    22     -0.000000      0.000000      1.106429     12.9986       95.38
    23      0.000000      0.000000     -0.267302     13.0528       94.99
    24      0.000000     -0.000000     -1.190013     13.1164       94.53
    25      0.000000     -0.000000     -2.509637     13.4563       92.14
    26      0.000000      0.000000      0.230449     13.6961       90.53
    27      0.000000      0.000000     -0.681998     13.8612       89.45
    28     -0.000000      0.000000     -0.697340     14.0843       88.03
    29     -0.000000     -0.000000     -3.352796     14.2420       87.06
    30     -0.000000     -0.000000      2.528954     14.6136       84.84
