 Note: The dipole moments shown below include both nuclear charge and electronic contributions
 Ground state dipole moment in X,Y,Z:   -0.906017   -0.573200    0.025729 a.u.

 Excited state dipole moments (a.u.):
  State         X             Y             Z        exc.(eV)    exc.(nm)
   109     -0.946973     -0.413221      0.028827     13.6385       90.91
   110     -0.074522     -0.770413      0.002985     13.6828       90.61
   111      0.604499     -0.716221     -0.041285     13.6831       90.61
   112     -0.830032      0.285079      0.036320     13.7245       90.34
   113     -1.856986      1.574577      0.090234     13.7466       90.19
   114     -0.065061     -0.031024     -0.001324     13.7635       90.08
   115     -0.994960     -0.411825      0.030789     13.8019       89.83
   116      0.200995      2.296780      0.023534     13.8252       89.68
   117      0.309688     -0.979224     -0.024370     13.8273       89.67
   118      0.444758      0.641998     -0.005230     13.8834       89.30
   119     -1.829518      0.880220      0.077260     13.9060       89.16
   120     -1.229352      0.487507      0.051286     14.0098       88.50
   121      0.648121     -0.173340     -0.026932     14.0113       88.49
   122      0.292965      0.443747     -0.004422     14.0565       88.20
   123     -1.163699      0.366950      0.048703     14.0886       88.00
   124     -0.100721      0.031757      0.004168     14.1111       87.86
   125      0.917280      0.454026     -0.027358     14.1333       87.72
   126     -1.473518      0.966806      0.066125     14.1485       87.63
   127     -0.910024     -0.159390      0.031085     14.1620       87.55
   128     -0.191336     -0.775625     -0.003882     14.1920       87.36
   129     -0.594499     -1.637739      0.000729     14.2865       86.78
   130     -0.543384      0.286582      0.023277     14.2908       86.76
   131     -0.223676     -0.293708      0.004033     14.3724       86.27
   132     -0.166714      0.600930      0.017240     14.3900       86.16
   133      1.106868      0.301329     -0.039412     14.4045       86.07
   134      0.511460     -0.397448     -0.024052     14.4892       85.57
   135      0.044822     -0.610092     -0.009942     14.5124       85.43
   136      0.138861     -0.072800     -0.006484     14.5394       85.27
   137     -1.470303     -1.287303      0.035956     14.5992       84.93
   138     -0.777608      0.426153      0.036272     14.6041       84.90
   139     -0.747885      0.558787      0.038504     14.6301       84.75
   140     -1.845189      0.644388      0.072373     14.6370       84.71
   141      0.084775      0.232536     -0.000157     14.6904       84.40
   142      0.917590      1.120887     -0.017863     14.7382       84.12
   143     -0.457016      2.760042      0.053850     14.7449       84.09
   144     -1.642798      0.356468      0.064706     14.7555       84.03
   145      0.247947     -0.283516     -0.013312     14.7590       84.01
   146     -1.212603      0.479794      0.050833     14.7859       83.85
   147      1.254553      0.195488     -0.043400     14.8410       83.54
   148      0.063828      0.810742      0.008579     14.9106       83.15
   149      0.184126      0.981961      0.005769     14.9205       83.10
   150      0.619281      1.598729     -0.001555     14.9306       83.04
   151     -1.311904      1.975448      0.074175     15.0003       82.65
   152      0.607913      1.783090      0.001400     15.0501       82.38
   153      0.241410     -0.481228     -0.015390     15.0869       82.18
   154      0.138999     -0.714468     -0.014732     15.1149       82.03
   155      0.727111     -0.422398     -0.032483     15.2169       81.48
   156      0.132301      0.722753      0.005038     15.2227       81.45
   157      0.051799     -0.361096     -0.006632     15.2444       81.33
   158     -1.802117     -0.204942      0.063227     15.3271       80.89
   159     -1.731456     -0.067281      0.063435     15.3656       80.69
   160     -0.302088     -0.166885      0.008522     15.3971       80.52
   161     -1.401474      0.115900      0.052950     15.4098       80.46
   162     -0.578632      1.350634      0.038966     15.4252       80.38
   163     -0.275467     -0.096030      0.008892     15.4568       80.21
   164     -1.099233      1.321824      0.057435     15.4774       80.11
   165     -0.762857      0.920802      0.039992     15.5386       79.79
   166      0.128481      0.569958      0.003132     15.5446       79.76
   167      0.681267     -0.443037     -0.029869     15.5935       79.51
   168     -1.303010      0.314838      0.051756     15.6199       79.38
   169      1.467798      0.230325     -0.051747     15.6259       79.35
   170     -1.450364      0.183333      0.055639     15.7489       78.73
   171     -1.639340     -0.733107      0.050745     15.7756       78.59
   172     -1.773101      0.959376      0.077646     15.7782       78.58
   173      0.540880     -0.769521     -0.029516     15.8048       78.45
   174     -2.055505      1.206300      0.091194     15.8287       78.33
   175     -0.787031     -0.742591      0.019330     15.8608       78.17
   176     -2.353265      0.904099      0.098609     15.8671       78.14
   177      2.739265     -1.698568     -0.123071     15.8970       77.99
   178     -0.281868     -0.744353     -0.000110     15.9049       77.95
   179     -0.735360     -0.313201      0.022581     15.9674       77.65
   180     -1.378453     -0.452324      0.044484     16.0195       77.40
   181     -0.915994     -0.973121      0.020695     16.0706       77.15
   182     -0.404193      0.914083      0.027054     16.1640       76.70
   183      0.740354     -0.441498     -0.033423     16.1931       76.57
   184     -1.364354     -0.484472      0.075581     16.2093       76.49
   185      0.306564      0.684965     -0.033494     16.2102       76.49
   186     -1.368175      0.412065      0.055905     16.2433       76.33
   187     -0.655072     -0.438853      0.019055     16.3207       75.97
   188     -1.757120      0.972567      0.076683     16.3438       75.86
   189      1.080774      0.353063     -0.034922     16.3742       75.72
   190     -2.101673     -0.292976      0.073571     16.3945       75.63
   191     -0.902381     -0.041776      0.032773     16.4182       75.52
   192     -0.725261      1.462490      0.046928     16.4986       75.15
   193      0.035951     -0.702337     -0.009547     16.5214       75.04
   194     -0.033589     -0.790843     -0.008124     16.5307       75.00
   195      0.112860      0.149484     -0.004559     16.5368       74.97
   196      1.071759     -1.394455     -0.058070     16.5684       74.83
   197     -1.856058      0.513883      0.074645     16.6208       74.60
   198     -0.697957      0.835390      0.037458     16.6384       74.52
   199     -0.312511     -0.244247      0.008347     16.6444       74.49
   200      0.230018     -1.475002     -0.029980     16.6812       74.33
   201     -0.219863     -0.325826      0.003876     16.7066       74.21
   202     -0.364556     -1.574574     -0.007764     16.7669       73.95
   203     -0.006518     -0.088287     -0.001552     16.8078       73.77
   204     -1.335906      0.105507      0.050979     16.8169       73.73
   205      0.230677      1.072824      0.005957     16.8372       73.64
   206      0.130901     -1.919563     -0.030561     16.9264       73.25
   207     -0.947090      0.277375      0.038586     16.9332       73.22
   208     -0.726504     -0.695920      0.017397     16.9669       73.07
   209     -0.945092     -0.052230      0.034802     17.0162       72.86
   210     -1.516937      0.654648      0.064811     17.0367       72.77
   211     -0.726785     -0.924230      0.014517     17.0490       72.72
   212     -0.766720      0.397526      0.033812     17.1162       72.44
   213     -0.238993     -0.196299      0.006132     17.1329       72.37
   214     -0.912564      0.994522      0.047674     17.1948       72.11
   215     -1.910713     -1.110124      0.057859     17.2303       71.96
   216     -0.363338     -0.546245      0.002188     17.2361       71.93
   217     -0.157796      0.148777      0.007306     17.2447       71.90
   218     -0.702808      0.711985      0.035097     17.2918       71.70
   219      0.569950     -0.083659     -0.022158     17.4125       71.20
   220     -0.287120     -1.990668     -0.017008     17.4241       71.16
   221     -0.120807     -0.178658      0.002342     17.4900       70.89
   222     -0.026910     -0.800832     -0.008884     17.5236       70.75
   223     -0.298611     -2.098405     -0.016414     17.6006       70.44
   224     -2.348830      0.712726      0.096616     17.6153       70.38
   225     -1.127856     -0.331327      0.035804     17.6315       70.32
   226     -0.637760      0.245369      0.026202     17.6326       70.32
   227     -0.728304     -0.521156      0.019709     17.6848       70.11
   228     -0.570792     -0.381093      0.016030     17.6921       70.08
   229      0.159435     -0.592380     -0.013570     17.7227       69.96
   230     -0.275032     -0.896751     -0.001682     17.7601       69.81
   231     -0.092932     -0.649049     -0.005408     17.7878       69.70
   232      1.707270      0.114390     -0.060954     17.8430       69.49
   233      0.590882      0.022366     -0.021378     17.8700       69.38
   234      0.296953      0.384810     -0.003522     17.9485       69.08
   235     -0.948402      0.110606      0.034865     17.9571       69.04
   236     -0.579813      0.491721      0.026931     17.9888       68.92
   237     -1.208895     -0.979169      0.031700     17.9981       68.89
   238     -0.337273      0.712434      0.021793     18.0152       68.82
   239     -1.301561     -0.596327      0.040052     18.0516       68.68
   240     -0.613532     -0.133979      0.022314     18.1112       68.46
   241     -0.448068     -0.651811      0.006309     18.1277       68.39
   242     -1.344959     -0.030868      0.050591     18.2391       67.98
   243     -0.001646     -0.210021     -0.003600     18.2442       67.96
   244      0.041491     -0.012147     -0.001827     18.2574       67.91
   245     -0.459554      0.137639      0.018306     18.2846       67.81
   246     -0.196393     -0.627892     -0.001201     18.3320       67.63
   247     -0.855510      0.694558      0.040952     18.3923       67.41
   248     -1.163625     -1.502245      0.023166     18.4191       67.31
   249      0.356121      0.626673     -0.005146     18.4581       67.17
   250     -0.373526     -0.530734      0.007216     18.4621       67.16
   251      0.132094     -0.744944     -0.015456     18.5114       66.98
   252     -0.063901     -1.125885     -0.012673     18.5302       66.91
   253     -0.685467     -0.070136      0.024381     18.5740       66.75
   254     -0.280558     -1.276860     -0.006348     18.5891       66.70
   255     -2.318694     -2.123534      0.058636     18.6594       66.45
   256     -1.043938      0.877723      0.050105     18.7058       66.28
   257     -0.711984      0.123748      0.027568     18.7561       66.10
   258     -2.451135     -0.291860      0.086535     18.7816       66.01
   259     -1.775629      0.333329      0.068407     18.7959       65.96
   260      0.520244      0.045723     -0.017709     18.8013       65.94
   261     -1.429503      0.259697      0.055575     18.8461       65.79
   262     -0.723808     -0.984833      0.013673     18.8629       65.73
   263     -1.649927      0.038857      0.061276     18.9031       65.59
   264     -1.029658      0.196074      0.040499     18.9372       65.47
   265     -1.532851     -0.207949      0.055857     19.0222       65.18
   266     -1.200143      0.087663      0.043507     19.0263       65.16
   267     -0.429674      0.429398      0.021636     19.0520       65.08
   268     -0.557646     -0.576908      0.012471     19.0976       64.92
   269     -0.391281     -1.247445     -0.001196     19.1537       64.73
   270     -0.677896     -0.103621      0.021854     19.1565       64.72
   271     -0.713190      0.693751      0.035665     19.1633       64.70
   272     -1.019980      0.098866      0.037836     19.1780       64.65
   273      0.307112     -0.281358     -0.015134     19.2200       64.51
   274     -0.724750     -0.329734      0.022909     19.2489       64.41
   275      0.669747      0.172311     -0.021783     19.2540       64.39
   276     -2.119981     -1.285102      0.060198     19.2832       64.30
   277     -1.421402     -0.432457      0.048082     19.2851       64.29
   278     -0.650363     -0.795737      0.012771     19.3386       64.11
   279     -1.671962      0.272629      0.064797     19.3790       63.98
   280     -1.190204     -0.488800      0.039010     19.4272       63.82
   281     -0.668107     -0.303835      0.021720     19.4370       63.79
   282     -0.087568      0.141921      0.012144     19.4523       63.74
   283     -1.194855      0.201054      0.037372     19.4606       63.71
   284     -0.045010     -0.776801     -0.008367     19.5272       63.49
   285     -0.012155     -1.166914     -0.015684     19.5385       63.46
   286     -1.393742      0.012732      0.050844     19.6288       63.16
   287     -1.925660      0.421303      0.076129     19.6493       63.10
   288     -1.744759     -0.729112      0.053695     19.6858       62.98
   289     -0.799599     -0.484726      0.023262     19.7258       62.85
   290     -1.729014     -0.857705      0.053987     19.7335       62.83
   291     -1.266706     -0.208226      0.043143     19.7812       62.68
   292     -0.700277      0.945972      0.038353     19.8239       62.54
   293     -2.005352     -0.847418      0.063588     19.8372       62.50
   294     -1.123874     -0.158686      0.038073     19.8554       62.44
   295     -0.928382     -1.260784      0.017230     19.8712       62.39
   296     -0.970711      0.231969      0.038312     19.9170       62.25
   297     -1.323760      0.253980      0.051744     19.9815       62.05
   298     -0.656712     -1.746662     -0.000966     20.0548       61.82
   299     -0.724442     -0.295468      0.023803     20.0633       61.80
   300     -0.395671     -1.175387     -0.001014     20.1418       61.56
   301     -2.282783      1.179895      0.099630     20.1488       61.53
   302     -0.932326     -1.367228      0.016279     20.2040       61.37
   303     -1.183258     -0.557824      0.036180     20.2150       61.33
   304     -1.107570     -0.067995      0.039669     20.2869       61.12
   305     -1.327861     -0.890179      0.037229     20.3270       60.99
   306     -1.146032      0.140878      0.044397     20.3514       60.92
   307     -2.090738     -0.522522      0.070540     20.4010       60.77
   308     -0.389334     -1.126728     -0.000607     20.4538       60.62
   309     -0.995743      0.027597      0.037128     20.5419       60.36
   310     -1.466766     -0.117603      0.053093     20.5966       60.20
   311     -0.274350     -0.208607      0.006094     20.6051       60.17
   312     -0.754051     -0.063490      0.020140     20.6471       60.05
   313     -3.037519     -0.443417      0.112188     20.6514       60.04
   314      0.013925     -0.586720     -0.008173     20.7027       59.89
   315     -1.521438      0.986047      0.068338     20.7264       59.82
   316     -1.321722      0.061551      0.048983     20.7560       59.73
   317     -0.115400     -0.228280      0.001394     20.7664       59.70
   318     -1.286044      0.260893      0.050584     20.8151       59.56
   319      1.291725     -0.915761     -0.059429     20.8383       59.50
   320     -0.586720     -1.101543      0.006789     20.8957       59.33
   321     -1.124541     -0.576640      0.033455     20.9676       59.13
   322     -0.418181     -0.805945      0.004962     21.0028       59.03
   323     -0.693121     -0.719147      0.016296     21.0382       58.93
   324     -0.784917      0.764875      0.039044     21.0713       58.84
   325      1.081896      0.932510     -0.026752     21.0845       58.80
   326     -0.477686      1.124067      0.031537     21.1003       58.76
   327     -2.301973     -0.831895      0.073517     21.1311       58.67
   328     -0.642226      1.466171      0.042931     21.1528       58.61
   329     -0.257853      0.852089      0.020682     21.2312       58.40
   330     -1.100406     -0.660639      0.031893     21.2666       58.30
   331     -0.372589      0.400265      0.019191     21.3631       58.04
   332     -1.735169      0.110071      0.064734     21.3912       57.96
   333     -0.855261      0.326295      0.035635     21.4378       57.83
   334     -0.584845      0.129836      0.023566     21.4582       57.78
   335      0.314199     -1.139110     -0.026079     21.5470       57.54
   336     -0.577001      0.050733      0.020686     21.5507       57.53
   337     -1.316736      0.692522      0.057504     21.5797       57.45
   338     -0.535985     -0.709804      0.011249     21.6556       57.25
   339     -0.762121     -0.316801      0.023998     21.6913       57.16
   340     -0.148999     -1.794368     -0.018179     21.7272       57.06
   341     -0.303606      0.255368      0.015016     21.7605       56.98
   342      0.388410     -0.606677     -0.022689     21.7831       56.92
   343     -1.296740     -0.065416      0.047138     21.8058       56.86
   344     -0.937089     -0.216207      0.031992     21.8535       56.73
   345     -0.783151     -0.323935      0.022552     21.9559       56.47
   346     -0.430035      1.031803      0.029880     21.9634       56.45
   347     -2.033315     -1.012202      0.061408     22.0435       56.25
   348     -0.461342     -0.525102      0.009803     22.0552       56.22
   349     -1.849534      0.483735      0.074074     22.1162       56.06
   350     -0.749461     -0.540938      0.020692     22.1556       55.96
   351     -2.136312     -0.537363      0.071663     22.1693       55.93
   352     -3.417884     -1.551571      0.106078     22.2073       55.83
   353     -1.546003     -0.646003      0.048591     22.2116       55.82
   354     -3.683705     -1.968809      0.111891     22.2501       55.72
   355     -1.097635     -0.230538      0.036033     22.2584       55.70
   356     -1.158874      0.292685      0.046806     22.2821       55.64
   357      1.223100     -1.024012     -0.058440     22.3316       55.52
   358     -0.639984     -0.820985      0.012535     22.4497       55.23
   359     -2.178381     -0.942992      0.067150     22.5017       55.10
   360     -1.544512     -0.473970      0.050077     22.5627       54.95
   361     -1.591149     -0.828997      0.046231     22.5886       54.89
   362     -0.597324      0.645572      0.031721     22.6086       54.84
   363     -0.940978     -0.457792      0.028061     22.6150       54.82
   364     -0.787519      0.290524      0.033387     22.6482       54.74
   365     -0.117928     -0.234915      0.004308     22.6894       54.64
   366     -1.240273     -0.372468      0.038805     22.6975       54.62
   367     -0.880656     -0.289171      0.026898     22.7299       54.55
   368     -1.422229     -1.155766      0.037377     22.7509       54.50
   369     -0.518621      0.055262      0.019810     22.7856       54.41
   370     -0.815000     -0.944828      0.017348     22.8372       54.29
   371     -0.978335     -0.396148      0.030780     22.9334       54.06
   372      0.585425     -1.745105     -0.045039     23.0098       53.88
   373     -0.694054      0.013199      0.025763     23.0439       53.80
   374     -0.482178     -0.595177      0.009726     23.0463       53.80
   375     -1.288946     -0.622646      0.039270     23.1404       53.58
   376     -0.993885     -0.797915      0.025873     23.1836       53.48
   377      0.271308     -2.303140     -0.040099     23.2010       53.44
   378     -1.483556      0.333990      0.058966     23.2159       53.40
   379     -0.127412     -0.873898     -0.006642     23.2580       53.31
   380     -0.382192     -0.648461      0.004661     23.2983       53.22
   381     -0.449130     -0.322340      0.009117     23.3109       53.19
   382     -2.962871     -1.813405      0.088629     23.3211       53.16
   383     -1.192918     -2.366227      0.012393     23.3461       53.11
   384     -0.879257     -1.182031      0.015788     23.4644       52.84
   385     -0.793483     -0.590259      0.021424     23.4707       52.83
   386     -0.511812      2.299108      0.050709     23.4951       52.77
   387     -2.374425     -0.732330      0.077291     23.7166       52.28
   388     -0.704079     -0.338656      0.022314     23.7199       52.27
   389     -2.893968     -0.418470      0.100873     23.7865       52.12
   390     -0.435449     -0.538395      0.009424     23.8628       51.96
   391     -1.221403     -0.220452      0.041378     23.8835       51.91
   392     -0.947440      0.996205      0.048363     23.8991       51.88
   393     -0.031715     -0.523956     -0.006446     23.9168       51.84
   394     -0.676323     -0.469995      0.018385     23.9659       51.73
   395     -0.726869     -0.218902      0.023876     24.0270       51.60
   396     -1.007451      0.259300      0.040125     24.0454       51.56
   397     -0.911929     -0.165840      0.031242     24.1147       51.41
   398      0.363583     -0.322222     -0.017453     24.1419       51.36
   399     -0.728981     -0.069847      0.025619     24.2014       51.23
   400      0.306522     -0.845424     -0.021931     24.2622       51.10
   401     -0.733172      0.039779      0.025395     24.3018       51.02
   402     -0.505835     -0.732294      0.020603     24.3057       51.01
   403     -1.249517      0.155158      0.037653     24.3064       51.01
   404      0.014755     -0.166087     -0.002397     24.3202       50.98
   405     -0.794472      0.354943      0.033905     24.3905       50.83
   406     -0.451936      0.546584      0.023786     24.3973       50.82
   407      0.904279      0.820274     -0.022029     24.4098       50.79
   408     -0.756670      0.603382      0.035636     24.5021       50.60
   409      0.379220     -0.142196     -0.015370     24.5873       50.43
   410     -1.679141      0.578051      0.069333     24.6667       50.26
   411     -0.074465      0.101937      0.004658     24.7421       50.11
   412     -2.150218     -0.844185      0.067181     24.7440       50.11
   413     -1.587609      0.667654      0.067170     24.8202       49.95
   414     -0.486459      0.277572      0.021934     24.8206       49.95
   415     -0.576420     -0.493998      0.015078     24.8309       49.93
   416     -2.636502     -0.591679      0.089455     24.8955       49.80
