 Note: The dipole moments shown below include both nuclear charge and electronic contributions
 Ground state dipole moment in X,Y,Z:   -0.000000    0.000000    0.327825 a.u.

 Excited state dipole moments (a.u.):
  State         X             Y             Z        exc.(eV)    exc.(nm)
     1      0.000000     -0.000000     -0.541160      5.0301      246.48
     2     -0.000000      0.000000      0.371955      5.3066      233.64
     3      0.000000      0.000000      0.771824      5.9214      209.38
     4     -0.000000      0.000000     -0.901028      6.0765      204.04
     5      0.000000      0.000000     -1.542610      7.9554      155.85
     6      0.000000     -0.000000     -1.365281      9.1651      135.28
     7     -0.000000      0.000000      0.126849      9.6114      129.00
     8     -0.000000      0.000000     -1.078228      9.8171      126.29
     9     -0.000000      0.000000     -0.402110     10.3609      119.67
    10      0.000000     -0.000000     -2.868491     11.1642      111.06
    11     -0.000000      0.000000      0.635189     12.2357      101.33
    12      0.000000      0.000000      1.775526     14.1464       87.64
    13      0.000000     -0.000000      1.689487     14.1939       87.35
    14      0.000000      0.000000      2.674089     14.5632       85.14
    15     -0.000000      0.000000      1.589781     15.1514       81.83
    16      0.000000     -0.000000      0.608166     15.2094       81.52
    17     -0.000000      0.000000      1.152027     15.3889       80.57
    18     -0.000000      0.000000      0.079636     15.4376       80.31
    19     -0.000000      0.000000     -0.978819     16.0294       77.35
    20      0.000000     -0.000000      1.053386     16.0323       77.33
    21      0.000000      0.000000      0.779545     17.2469       71.89
    22      0.000000     -0.000000      3.301110     17.6437       70.27
    23      0.000000     -0.000000     -0.917789     18.3336       67.63
    24     -0.000000      0.000000      0.615105     18.3711       67.49
    25      0.000000      0.000000     -0.283627     18.5185       66.95
    26      0.000000     -0.000000      0.218570     18.6830       66.36
    27     -0.000000     -0.000000      1.398319     18.7328       66.19
    28      0.000000     -0.000000      1.457954     19.1568       64.72
    29      0.000000      0.000000      0.147843     19.2495       64.41
    30     -0.000000      0.000000     -0.835158     19.3856       63.96
