0  -3111.361664220274
1  -3110.1114642202742
2  -3108.072264220274
3  -3107.792764220274
4  -3107.618864220274
5  -3107.0170642202743
6  -3104.4923642202743
7  -3104.491764220274
8  -3104.0591642202744
9  -3103.3648642202743
10  -3102.940764220274
11  -3102.8855642202743
12  -3102.798464220274
13  -3102.4201642202743
14  -3102.385464220274
15  -3102.2286642202744
16  -3101.666864220274
17  -3101.5451642202743
18  -3101.3536642202744
19  -3100.969764220274
20  -3100.732864220274
21  -3100.727164220274
22  -3100.564864220274
23  -3100.1820642202742
24  -3099.8990642202743
25  -3099.4923642202743
26  -3099.3612642202743
27  -3099.2652642202743
28  -3099.1600642202743
29  -3098.750164220274
30  -3098.5177642202743
