 Ground state dipole moment in X,Y,Z:   -0.000000    0.000000   -0.832028 a.u.

 Transition dipole moment between ground state (0) and excited states (a.u.)
     i     j         X             Y             Z        Diff.(eV)   Oscil.str
     0     1    -0.0000000    -0.0000000    -0.0000000     4.38500     0.00000
     0     2     0.0000000     0.5084478    -0.0000000     6.72890     0.04262
     0     3    -0.0000000     0.3517134    -0.0000000     7.52400     0.02280
     0     4     0.0000000     0.0000000    -0.5306645     7.68860     0.05305
     0     5    -0.0000000     0.0000000     0.0000000     8.19000     0.00000
     0     6     0.0444388     0.0000000    -0.0000000     9.98050     0.00048
     0     7    -0.0000000     0.7889839    -0.0000000    10.32010     0.15739
     0     8     0.0000000    -0.0000000     0.5237273    10.42780     0.07007
     0     9     0.0000000    -0.0000000     0.0000000    10.97580     0.00000
     0    10    -0.3899468     0.0000000    -0.0000000    11.15300     0.04155
     0    11    -0.0000000    -0.0470919    -0.0000000    11.20210     0.00061
     0    12     0.3353578    -0.0000000     0.0000000    12.02250     0.03313
     0    13    -0.0000000    -0.0000000     0.0000000    12.07180     0.00000
     0    14    -0.0000000    -0.0000000    -0.4662171    12.10590     0.06447
     0    15     0.0000000    -0.0000000     0.0000000    12.16670     0.00000
     0    16     0.0000000     0.0000000    -0.0641658    12.62530     0.00127
     0    17    -0.0000000    -0.0000000    -0.9504287    12.70680     0.28121
     0    18     0.0000000    -0.0000000    -0.7381972    12.89090     0.17210
     0    19    -0.0000000    -0.0000000     0.5460153    13.03130     0.09518
     0    20    -0.0000000    -0.3748235     0.0000000    13.13390     0.04521
     0    21     0.0000000    -0.5413318    -0.0000000    13.34770     0.09583
     0    22    -0.0000000    -0.3579571     0.0000000    13.63890     0.04282
     0    23    -0.2574990     0.0000000     0.0000000    13.67780     0.02222
     0    24    -0.0000000     0.2554949    -0.0000000    14.25060     0.02279
     0    25     0.0872755     0.0000000     0.0000000    14.27270     0.00266
     0    26    -0.0000000    -0.0000000    -0.0972950    14.56340     0.00338
     0    27    -0.0000000     0.0000000    -0.0000000    14.80960     0.00000
     0    28    -0.5123798    -0.0000000    -0.0000000    15.31410     0.09850
     0    29     0.0000000    -0.2576925     0.0000000    15.43040     0.02510
     0    30    -0.0000000    -0.0000000     0.1552498    15.44540     0.00912
 
 Note: In below output the case of i=j corresponds to electronic contribution to dipole moment of excited state i
 Transition dipole moment between excited states (a.u.):
     i     j         X             Y             Z        Diff.(eV)   Oscil.str
     1     1    -0.0000000     0.0000000     0.8519741     0.00000     0.00000
     1     2    -0.7999682     0.0000000    -0.0000000     2.34390     0.03675
     1     3     0.0183544    -0.0000000    -0.0000000     3.13900     0.00003
     1     4    -0.0000000     0.0000000     0.0000000     3.30360     0.00000
     1     5     0.0000000    -0.0000000     0.4887265     3.80500     0.02227
     1     6    -0.0000000    -0.0521389    -0.0000000     5.59550     0.00037
     1     7     0.6272530     0.0000000    -0.0000000     5.93510     0.05721
     1     8     0.0000000     0.0000000    -0.0000000     6.04280     0.00000
     1     9     0.0000000     0.0000000     1.2396271     6.59080     0.24813
     1    10    -0.0000000    -0.0171860     0.0000000     6.76800     0.00005
     1    11     0.4960415     0.0000000    -0.0000000     6.81710     0.04110
     1    12    -0.0000000    -0.0430676     0.0000000     7.63750     0.00035
     1    13     0.0000000    -0.0000000    -0.0706062     7.68680     0.00094
     1    14     0.0000000    -0.0000000    -0.0000000     7.72090     0.00000
     1    15     0.0000000    -0.0000000    -0.2885807     7.78170     0.01588
     1    16    -0.0000000    -0.0000000    -0.0000000     8.24030     0.00000
     1    17     0.0000000    -0.0000000    -0.0000000     8.32180     0.00000
     1    18    -0.0000000    -0.0000000    -0.0000000     8.50590     0.00000
     1    19     0.0000000     0.0000000     0.0000000     8.64630     0.00000
     1    20    -0.0061133    -0.0000000     0.0000000     8.74890     0.00001
     1    21    -0.0491082    -0.0000000     0.0000000     8.96270     0.00053
     1    22     0.2591400     0.0000000     0.0000000     9.25390     0.01522
     1    23     0.0000000     0.0704126     0.0000000     9.29280     0.00113
     1    24     0.0264867    -0.0000000    -0.0000000     9.86560     0.00017
     1    25    -0.0000000    -0.2922452    -0.0000000     9.88770     0.02069
     1    26    -0.0000000     0.0000000     0.0000000    10.17840     0.00000
     1    27     0.0000000     0.0000000     0.0298270    10.42460     0.00023
     1    28    -0.0000000    -0.6541997    -0.0000000    10.92910     0.11459
     1    29     0.0090492     0.0000000     0.0000000    11.04540     0.00002
     1    30     0.0000000     0.0000000     0.0000000    11.06040     0.00000
     2     2    -0.0000000     0.0000000     2.7256710     0.00000     0.00000
     2     3     0.0000000    -0.0000000     2.4281302     0.79510     0.11485
     2     4    -0.0000000    -2.9204137    -0.0000000     0.95970     0.20053
     2     5    -2.8201604     0.0000000     0.0000000     1.46110     0.28470
     2     6     0.0000000    -0.0000000    -0.0000000     3.25160     0.00000
     2     7     0.0000000     0.0000000    -0.2875091     3.59120     0.00727
     2     8    -0.0000000    -0.0796791    -0.0000000     3.69890     0.00058
     2     9     0.0445702    -0.0000000     0.0000000     4.24690     0.00021
     2    10     0.0000000     0.0000000     0.0000000     4.42410     0.00000
     2    11    -0.0000000    -0.0000000    -0.0967453     4.47320     0.00103
     2    12     0.0000000    -0.0000000     0.0000000     5.29360     0.00000
     2    13     0.0557716    -0.0000000     0.0000000     5.34290     0.00041
     2    14    -0.0000000    -0.1162043    -0.0000000     5.37700     0.00178
     2    15     0.5063596    -0.0000000     0.0000000     5.43780     0.03416
     2    16     0.0000000     0.4623781     0.0000000     5.89640     0.03088
     2    17     0.0000000    -0.0774000     0.0000000     5.97790     0.00088
     2    18     0.0000000     0.1201759     0.0000000     6.16200     0.00218
     2    19    -0.0000000    -0.1297349    -0.0000000     6.30240     0.00260
     2    20    -0.0000000     0.0000000     0.0668939     6.40500     0.00070
     2    21     0.0000000     0.0000000     1.2396198     6.61880     0.24918
     2    22    -0.0000000     0.0000000     0.4926772     6.91000     0.04109
     2    23     0.0000000     0.0000000    -0.0000000     6.94890     0.00000
     2    24    -0.0000000    -0.0000000    -0.0694795     7.52170     0.00089
     2    25     0.0000000    -0.0000000    -0.0000000     7.54380     0.00000
     2    26     0.0000000     0.1294556     0.0000000     7.83450     0.00322
     2    27    -0.0226364     0.0000000    -0.0000000     8.08070     0.00010
     2    28     0.0000000     0.0000000    -0.0000000     8.58520     0.00000
     2    29    -0.0000000    -0.0000000    -0.7168576     8.70150     0.10955
     2    30    -0.0000000     0.1005607    -0.0000000     8.71650     0.00216
     3     3    -0.0000000     0.0000000     0.6294792     0.00000     0.00000
     3     4     0.0000000     1.1087369     0.0000000     0.16460     0.00496
     3     5     0.9856177    -0.0000000    -0.0000000     0.66600     0.01585
     3     6    -0.0000000     0.0000000    -0.0000000     2.45650     0.00000
     3     7     0.0000000    -0.0000000    -1.0469325     2.79610     0.07508
     3     8    -0.0000000    -0.8542062     0.0000000     2.90380     0.05191
     3     9     0.1412664    -0.0000000     0.0000000     3.45180     0.00169
     3    10     0.0000000    -0.0000000     0.0000000     3.62900     0.00000
     3    11    -0.0000000     0.0000000     2.0885249     3.67810     0.39306
     3    12     0.0000000     0.0000000     0.0000000     4.49850     0.00000
     3    13     0.1858146    -0.0000000     0.0000000     4.54780     0.00385
     3    14    -0.0000000    -1.0092348     0.0000000     4.58190     0.11434
     3    15     1.6196702    -0.0000000     0.0000000     4.64270     0.29839
     3    16     0.0000000     1.0264921    -0.0000000     5.10130     0.13169
     3    17     0.0000000    -0.9965791     0.0000000     5.18280     0.12611
     3    18     0.0000000    -0.2482000     0.0000000     5.36690     0.00810
     3    19    -0.0000000    -0.2764930     0.0000000     5.50730     0.01031
     3    20    -0.0000000    -0.0000000    -0.0042033     5.60990     0.00000
     3    21     0.0000000     0.0000000     0.0836864     5.82370     0.00100
     3    22    -0.0000000     0.0000000     0.3345538     6.11490     0.01677
     3    23    -0.0000000    -0.0000000     0.0000000     6.15380     0.00000
     3    24    -0.0000000     0.0000000     1.3161845     6.72660     0.28549
     3    25     0.0000000    -0.0000000    -0.0000000     6.74870     0.00000
     3    26     0.0000000     0.0670307     0.0000000     7.03940     0.00077
     3    27    -0.0105115     0.0000000    -0.0000000     7.28560     0.00002
     3    28     0.0000000     0.0000000    -0.0000000     7.79010     0.00000
     3    29    -0.0000000     0.0000000    -0.1704627     7.90640     0.00563
     3    30    -0.0000000     0.0799010    -0.0000000     7.92140     0.00124
     4     4    -0.0000000    -0.0000000     1.3816979     0.00000     0.00000
     4     5    -0.0000000     0.0000000    -0.0000000     0.50140     0.00000
     4     6    -0.0056155     0.0000000     0.0000000     2.29190     0.00000
     4     7     0.0000000    -0.2522922    -0.0000000     2.63150     0.00410
     4     8     0.0000000     0.0000000     0.7721739     2.73920     0.04001
     4     9    -0.0000000     0.0000000     0.0000000     3.28720     0.00000
     4    10    -0.0448378     0.0000000     0.0000000     3.46440     0.00017
     4    11     0.0000000     0.0478356     0.0000000     3.51350     0.00020
     4    12     0.0197120    -0.0000000    -0.0000000     4.33390     0.00004
     4    13    -0.0000000     0.0000000     0.0000000     4.38320     0.00000
     4    14    -0.0000000     0.0000000     0.7936684     4.41730     0.06817
     4    15    -0.0000000     0.0000000     0.0000000     4.47810     0.00000
     4    16    -0.0000000    -0.0000000    -1.2349858     4.93670     0.18447
     4    17    -0.0000000    -0.0000000     0.7621404     5.01820     0.07141
     4    18     0.0000000    -0.0000000    -0.1044689     5.20230     0.00139
     4    19    -0.0000000     0.0000000     0.3238493     5.34270     0.01373
     4    20    -0.0000000    -0.0468211    -0.0000000     5.44530     0.00029
     4    21    -0.0000000    -0.0907284    -0.0000000     5.65910     0.00114
     4    22     0.0000000     1.2869782    -0.0000000     5.95030     0.24146
     4    23    -0.0362336     0.0000000     0.0000000     5.98920     0.00019
     4    24     0.0000000     0.0664731     0.0000000     6.56200     0.00071
     4    25     0.0342338     0.0000000    -0.0000000     6.58410     0.00019
