# A0	H_PF	H_EL	H_PH	H_INT	H_DSE
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.010000 0.043587 0.018877 0.016734 -0.071196 0.079171
0.020000 0.174187 0.075534 0.066981 -0.284605 0.316278
0.030000 0.391325 0.170048 0.150873 -0.639705 0.710109
0.040000 0.694215 0.302546 0.268634 -1.135641 1.258677
0.050000 1.081770 0.473194 0.420578 -1.771263 1.959260
0.060000 1.552613 0.682197 0.607114 -2.545157 2.808459
0.070000 2.105097 0.929782 0.828741 -3.455691 3.802265
0.080000 2.737321 1.216196 1.086057 -4.501064 4.936132
0.090000 3.447149 1.541686 1.379745 -5.679337 6.205054
0.100000 4.232232 1.906495 1.710575 -6.988482 7.603644
0.110000 5.090035 2.310843 2.079388 -8.426399 9.126203
0.120000 6.017852 2.754917 2.487089 -9.990947 10.766793
0.130000 7.012837 3.238861 2.934627 -11.679949 12.519298
0.140000 8.072021 3.762761 3.422981 -13.491205 14.377485
0.150000 9.192339 4.326638 3.953135 -15.422489 16.335055
0.160000 10.370646 4.930430 4.526057 -17.471539 18.385698
0.170000 11.603749 5.573986 5.142665 -19.636034 20.523131
0.180000 12.888418 6.257051 5.803787 -21.913555 22.741135
0.190000 14.221416 6.979249 6.510120 -24.301528 25.033575
0.200000 15.599517 7.740079 7.262168 -26.797141 27.394412
0.210000 17.019527 8.538901 8.060193 -29.397259 29.817691
0.220000 18.478301 9.374933 8.904151 -32.098315 32.297532
0.230000 19.972764 10.247251 9.793633 -34.896216 34.828097
0.240000 21.499926 11.154792 10.727817 -37.786245 37.403562
0.250000 23.056890 12.096361 11.705417 -40.762974 40.018086
0.260000 24.640872 13.070646 12.724636 -43.820184 42.665774
0.270000 26.249203 14.076224 13.783130 -46.950791 45.340640
0.280000 27.879342 15.111579 14.877959 -50.146763 48.036567
0.290000 29.528877 16.175115 16.005552 -53.399039 50.747249
0.300000 31.195535 17.265173 17.161665 -56.697432 53.466129
0.310000 32.877176 18.380047 18.341342 -60.030524 56.186312
0.320000 34.571799 19.518011 19.538895 -63.385580 58.900473
0.330000 36.277534 20.677347 20.747896 -66.748461 61.600752
0.340000 37.992633 21.856374 21.961193 -70.103587 64.278653
0.350000 39.715460 23.053493 23.170965 -73.433952 66.924954
0.360000 41.444473 24.267226 24.368803 -76.721204 69.529649
0.370000 43.178209 25.496257 25.545836 -79.945807 72.081923
0.380000 44.915255 26.739476 26.692885 -83.087284 74.570177
0.390000 46.654228 27.996008 27.800640 -86.124522 76.982102
0.400000 48.393752 29.265233 28.859861 -89.036153 79.304811
