# A0	H_PF	H_EL	H_PH	H_INT	H_DSE
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.100000 1.223413 0.026867 0.016428 -0.069020 1.249139
0.200000 2.394447 0.102153 0.036241 -0.210597 2.466650
0.300000 3.516869 0.219153 0.061323 -0.420037 3.656431
0.400000 4.593942 0.372406 0.093256 -0.693411 4.821691
0.500000 5.628540 0.557348 0.133382 -1.027332 5.965141
0.600000 6.623228 0.770088 0.182846 -1.418806 7.089100
0.700000 7.580319 1.007264 0.242623 -1.865148 8.195580
0.800000 8.501912 1.265932 0.313544 -2.363906 9.286342
0.900000 9.389927 1.543502 0.396309 -2.912821 10.362937
1.000000 10.246126 1.837670 0.491506 -3.509791 11.426742
1.100000 11.072140 2.146378 0.599623 -4.152842 12.478981
1.200000 11.869477 2.467783 0.721055 -4.840112 13.520751
1.300000 12.639540 2.800223 0.856115 -5.569832 14.553035
1.400000 13.383640 3.142199 1.005045 -6.340320 15.576715
1.500000 14.102998 3.492355 1.168020 -7.149965 16.592588
1.600000 14.798762 3.849462 1.345155 -7.997227 17.601372
1.700000 15.472008 4.212406 1.536513 -8.880627 18.603716
1.800000 16.123748 4.580174 1.742110 -9.798742 19.600206
1.900000 16.754936 4.951848 1.961920 -10.750206 20.591374
2.000000 17.366470 5.326592 2.195878 -11.733701 21.577701
2.100000 17.959199 5.703649 2.443886 -12.747960 22.559623
2.200000 18.533925 6.082331 2.705820 -13.791762 23.537536
2.300000 19.091408 6.462013 2.981526 -14.863931 24.511799
2.400000 19.632366 6.842131 3.270832 -15.963334 25.482737
2.500000 20.157482 7.222171 3.573544 -17.088879 26.450645
2.600000 20.667401 7.601671 3.889455 -18.239516 27.415791
2.700000 21.162737 7.980214 4.218340 -19.414233 28.378417
2.800000 21.644074 8.357421 4.559966 -20.612058 29.338744
2.900000 22.111964 8.732955 4.914089 -21.832053 30.296972
3.000000 22.566935 9.106512 5.280459 -23.073317 31.253281
3.100000 23.009488 9.477820 5.658818 -24.334984 32.207834
3.200000 23.440101 9.846636 6.048906 -25.616222 33.160782
3.300000 23.859228 10.212744 6.450458 -26.916231 34.112257
3.400000 24.267302 10.575952 6.863208 -28.234240 35.062382
3.500000 24.664736 10.936094 7.286889 -29.569513 36.011266
3.600000 25.051924 11.293019 7.721236 -30.921339 36.959008
3.700000 25.429242 11.646600 8.165982 -32.289038 37.905698
3.800000 25.797048 11.996725 8.620864 -33.671957 38.851417
3.900000 26.155686 12.343298 9.085620 -35.069468 39.796236
4.000000 26.505482 12.686237 9.559992 -36.480969 40.740222
4.100000 26.846750 13.025474 10.043725 -37.905882 41.683434
4.200000 27.179789 13.360954 10.536566 -39.343655 42.625923
4.300000 27.504883 13.692630 11.038270 -40.793755 43.567738
4.400000 27.822308 14.020469 11.548592 -42.255672 44.508920
4.500000 28.132325 14.344442 12.067295 -43.728918 45.449506
4.600000 28.435185 14.664533 12.594145 -45.213024 46.389531
4.700000 28.731127 14.980732 13.128912 -46.707541 47.329024
4.800000 29.020383 15.293034 13.671374 -48.212037 48.268012
4.900000 29.303172 15.601442 14.221311 -49.726099 49.206517
5.000000 29.579706 15.905964 14.778511 -51.249330 50.144561
