0  -3090.7896379523895
1  -3085.5318379523897
2  -3085.3391379523896
3  -3084.6819379523895
4  -3084.5339379523894
5  -3083.0026379523897
6  -3081.4236379523895
7  -3081.0682379523896
8  -3080.6364379523893
9  -3080.2069379523896
10  -3079.2652379523897
11  -3078.5897379523894
12  -3076.5666379523896
13  -3076.4314379523894
14  -3076.3498379523894
15  -3075.7112379523896
16  -3075.6344379523894
17  -3075.4372379523893
18  -3075.3207379523897
19  -3074.7268379523894
20  -3074.7257379523894
21  -3074.0068379523896
22  -3073.4899379523895
23  -3073.2069379523896
24  -3072.8456379523896
25  -3072.6816379523893
26  -3072.5522379523895
27  -3072.4692379523894
28  -3072.4408379523893
29  -3072.3689379523894
30  -3072.2717379523897
