# A0	H_PF	H_EL	H_PH	H_INT	H_DSE
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.010000 0.020134 0.008661 0.009060 -0.035438 0.037851
0.020000 0.080505 0.034655 0.036260 -0.141743 0.151334
0.030000 0.181016 0.078006 0.081652 -0.318885 0.340242
0.040000 0.321507 0.138758 0.145330 -0.566812 0.604232
0.050000 0.501757 0.216971 0.227419 -0.885457 0.942824
0.060000 0.721478 0.312719 0.328082 -1.274730 1.355407
0.070000 0.980326 0.426093 0.447517 -1.734526 1.841241
0.080000 1.277891 0.557196 0.585958 -2.264722 2.399459
0.090000 1.613709 0.706144 0.743672 -2.865181 3.029075
0.100000 1.987256 0.873062 0.920957 -3.535749 3.728985
0.110000 2.397951 1.058086 1.118148 -4.276261 4.497979
0.120000 2.845163 1.261356 1.335608 -5.086541 5.334739
0.130000 3.328204 1.483019 1.573728 -5.966397 6.237854
0.140000 3.846342 1.723222 1.832931 -6.915633 7.205822
0.150000 4.398795 1.982112 2.113661 -7.934038 8.237059
0.160000 4.984737 2.259833 2.416386 -9.021390 9.329909
0.170000 5.603303 2.556521 2.741590 -10.177457 10.482650
0.180000 6.253588 2.872303 3.089772 -11.401987 11.693499
0.190000 6.934653 3.207292 3.461440 -12.694709 12.960629
0.200000 7.645528 3.561586 3.857102 -14.055326 14.282167
0.210000 8.385217 3.935259 4.277258 -15.483505 15.656205
0.220000 9.152700 4.328362 4.722395 -16.978867 17.080809
0.230000 9.946936 4.740918 5.192975 -18.540975 18.554017
0.240000 10.766873 5.172918 5.689421 -20.169318 20.073852
0.250000 11.611446 5.624316 6.212109 -21.863297 21.638318
0.260000 12.479583 6.095027 6.761351 -23.622200 23.245405
0.270000 13.370212 6.584926 7.337385 -25.445184 24.893086
0.280000 14.282263 7.093841 7.940354 -27.331251 26.579318
0.290000 15.214672 7.621558 8.570302 -29.279227 28.302040
0.300000 16.166387 8.167812 9.227149 -31.287736 30.059162
0.310000 17.136368 8.732294 9.910685 -33.355176 31.848565
0.320000 18.123595 9.314646 10.620556 -35.479700 33.668093
0.330000 19.127069 9.914468 11.356256 -37.659200 35.515545
0.340000 20.145813 10.531318 12.117115 -39.891287 37.388667
0.350000 21.178877 11.164713 12.902301 -42.173286 39.285149
0.360000 22.225339 11.814141 13.710814 -44.502229 41.202614
0.370000 23.284306 12.479057 14.541489 -46.874858 43.138618
0.380000 24.354915 13.158898 15.393004 -49.287636 45.090649
0.390000 25.436332 13.853082 16.263885 -51.736759 47.056124
0.400000 26.527754 14.561019 17.152523 -54.218179 49.032392
