 Note: The dipole moments shown below include both nuclear charge and electronic contributions
 Ground state dipole moment in X,Y,Z:   -0.000000    0.000000   -1.404857 a.u.

 Excited state dipole moments (a.u.):
  State         X             Y             Z        exc.(eV)    exc.(nm)
     1     -0.000000      0.000000      0.283594      2.3025      538.48
     2     -0.000000     -0.000000     -0.306302      5.8310      212.63
     3     -0.000000      0.000000     -0.305679      6.0187      206.00
     4     -0.000000      0.000000      2.831978      6.7011      185.02
     5     -0.000000     -0.000000     -0.338926      7.1825      172.62
     6     -0.000000      0.000000     -2.579085      7.8266      158.41
     7     -0.000000      0.000000      1.674918      8.0499      154.02
     8     -0.000000      0.000000      2.520292      8.1005      153.06
     9      0.000000      0.000000      1.474926      8.6017      144.14
    10     -0.000000     -0.000000     -1.181450      8.6621      143.13
    11     -0.000000      0.000000      1.121801      9.4031      131.85
    12     -0.000000      0.000000      1.997197      9.5364      130.01
    13      0.000000     -0.000000      0.878343     10.0345      123.56
    14     -0.000000     -0.000000      1.097629     10.4445      118.71
    15     -0.000000     -0.000000      2.578436     10.5030      118.05
    16     -0.000000      0.000000      1.533536     10.9513      113.21
    17     -0.000000     -0.000000      0.055108     11.0189      112.52
    18      0.000000      0.000000      0.297813     11.6552      106.38
    19      0.000000      0.000000     -2.990177     11.6672      106.27
    20     -0.000000      0.000000      1.081961     11.7113      105.87
    21     -0.000000     -0.000000      0.250399     11.7284      105.71
    22     -0.000000     -0.000000      0.792777     12.0380      102.99
    23     -0.000000     -0.000000      0.185497     12.0444      102.94
    24      0.000000      0.000000      1.017775     12.2559      101.16
    25      0.000000      0.000000     -1.610798     12.2868      100.91
    26     -0.000000     -0.000000     -3.505458     12.7165       97.50
    27      0.000000      0.000000     -3.860878     13.1735       94.12
    28      0.000000      0.000000     -1.051346     13.2227       93.77
    29     -0.000000     -0.000000     -0.479816     13.4753       92.01
    30     -0.000000     -0.000000      1.426170     13.6331       90.94
