 Note: The dipole moments shown below include both nuclear charge and electronic contributions
 Ground state dipole moment in X,Y,Z:   -0.000000   -0.000000    0.237879 a.u.

 Excited state dipole moments (a.u.):
  State         X             Y             Z        exc.(eV)    exc.(nm)
     1     -0.000000      0.000000     -0.375977      5.1811      239.30
     2      0.000000      0.000000      0.388408      5.4065      229.32
     3      0.000000      0.000000      0.608716      6.0434      205.16
     4     -0.000000      0.000000     -0.846493      6.1932      200.19
     5      0.000000      0.000000     -1.501987      7.8398      158.15
     6     -0.000000     -0.000000     -1.338895      9.2970      133.36
     7     -0.000000     -0.000000     -0.017580      9.6825      128.05
     8     -0.000000      0.000000     -1.148717     10.0399      123.49
     9     -0.000000      0.000000     -0.571292     10.5066      118.01
    10      0.000000      0.000000     -2.869367     11.4040      108.72
    11     -0.000000      0.000000      0.596993     12.2099      101.54
    12     -0.000000      0.000000      1.889495     14.2338       87.11
    13      0.000000     -0.000000      1.777429     14.2853       86.79
    14      0.000000     -0.000000      2.708089     14.5073       85.46
    15      0.000000      0.000000      1.640743     15.1221       81.99
    16     -0.000000     -0.000000      1.731856     15.1934       81.60
    17     -0.000000      0.000000     -0.128229     15.3549       80.75
    18      0.000000     -0.000000      0.002903     15.4486       80.26
    19     -0.000000      0.000000     -1.038189     16.0402       77.30
    20      0.000000     -0.000000      0.810055     16.0405       77.29
    21      0.000000     -0.000000      0.679518     16.9528       73.13
    22     -0.000000     -0.000000      3.350172     17.6225       70.36
    23     -0.000000      0.000000      0.796989     17.6666       70.18
    24     -0.000000     -0.000000     -1.733437     18.2232       68.04
    25     -0.000000     -0.000000      1.129085     18.2291       68.01
    26      0.000000     -0.000000      0.851625     18.4636       67.15
    27     -0.000000      0.000000      0.701777     18.6261       66.56
    28     -0.000000      0.000000      0.627680     18.6609       66.44
    29     -0.000000     -0.000000      0.278199     18.7068       66.28
    30      0.000000     -0.000000      1.881885     18.7788       66.02
