0  -3113.4938231545325
1  -3108.3167231545326
2  -3107.1904231545327
3  -3106.4023231545325
4  -3106.2627231545325
5  -3105.6995231545325
6  -3103.3432231545326
7  -3102.8593231545324
8  -3101.9190231545326
9  -3101.7975231545324
10  -3101.5594231545324
11  -3101.3899231545324
12  -3100.5018231545323
13  -3100.4773231545323
14  -3100.4127231545326
15  -3100.1437231545324
16  -3099.9033231545327
17  -3099.6581231545324
18  -3099.6244231545325
19  -3099.6244231545325
20  -3099.5997231545325
21  -3099.0010231545325
22  -3098.8485231545324
23  -3098.6310231545326
24  -3098.1385231545323
25  -3097.9743231545326
26  -3097.9478231545327
27  -3097.7951231545326
28  -3097.3661231545325
29  -3097.3182231545325
30  -3097.0687231545326
