1 35 0.0267 0.4167 0.2578
1 36 -0.1158 -0.0430 -0.0063
1 37 -0.0738 -0.0280 -0.0106
1 38 0.0391 -0.0276 -0.0015
1 39 -0.0129 -0.0023 -0.0449
1 40 -0.0113 -0.0361 0.0028
1 41 0.0567 -0.0184 -0.0058
1 42 0.0996 0.0508 0.1085
1 43 -0.0239 -0.0214 -0.1174
1 44 -0.0807 -0.1061 0.0356
1 45 0.0174 -0.0472 0.0557
1 46 0.0126 -0.0642 0.1663
1 47 -0.0338 -0.0420 -0.0531
1 48 -0.0232 0.0366 0.1260
1 49 0.0724 0.0113 0.0327
1 50 -0.1136 -0.0694 0.0197
1 51 -0.0318 -0.0728 0.0091
1 52 -0.0099 -0.1871 -0.0552
1 53 -0.0609 -0.0204 -0.0870
1 54 0.0311 0.0295 0.0141
1 55 -0.0106 0.1333 -0.0524
1 56 -0.1465 -0.1499 0.0583
1 57 -0.0413 -0.1715 0.0912
1 58 -0.0007 -0.0137 -0.0310
1 59 0.0495 0.0387 0.0070
1 60 0.2272 0.3843 -0.1244
1 61 -0.1424 -0.2643 0.0980
1 62 -0.0699 -0.2618 0.1337
1 63 -0.0286 -0.0835 0.0607
1 64 0.0046 -0.0095 -0.0490
1 65 0.0289 0.0232 -0.0604
1 66 0.0123 0.0500 0.0422
1 67 0.0737 0.0995 -0.1900
1 68 -0.0832 -0.1316 -0.0067
1 69 -0.0586 -0.0925 0.0068
1 70 -0.0030 -0.0620 0.0111
1 71 0.0762 0.1479 -0.0384
1 72 -0.0112 0.1870 0.0613
1 73 -0.0294 -0.0071 0.0411
1 74 0.0763 -0.0041 0.0376
1 75 0.0777 -0.0425 0.0286
1 76 -0.0159 0.0220 0.0408
1 77 0.0694 -0.0599 0.0614
1 78 0.0066 0.0210 -0.0415
1 79 0.1156 -0.0815 0.0846
1 80 -0.0250 0.0968 0.2101
1 81 0.0053 -0.0457 -0.0769
1 82 -0.0407 0.0067 -0.0059
1 83 -0.0242 0.0214 0.0098
1 84 -0.0469 0.0060 -0.0215
1 85 -0.0535 -0.0470 -0.0335
1 86 -0.0112 -0.0685 -0.0054
1 87 -0.0844 -0.1199 -0.0808
1 88 0.0921 0.0687 0.0322
1 89 0.1141 0.1355 0.1125
1 90 -0.0456 -0.0951 0.0157
1 91 -0.1269 0.0425 0.0350
1 92 0.0991 0.1015 -0.0675
1 93 0.1832 0.0448 -0.0291
1 94 -0.0419 0.0132 -0.0263
1 95 -0.0142 0.0323 0.0284
1 96 -0.0319 -0.1482 -0.0543
1 97 0.0160 0.1819 -0.0747
1 98 -0.0266 -0.0368 0.0393
1 99 -0.0680 -0.0122 -0.0139
1 100 -0.0207 -0.0597 -0.0187
2 0 0.1485 0.2106 0.1480
2 1 0.0861 -0.0175 0.0050
2 2 1.8061 2.6234 2.2006
2 3 0.4097 0.2346 0.1371
2 4 -0.3321 -0.1299 -0.1095
2 5 -0.2250 -0.1135 -0.0704
2 6 0.2957 0.1852 0.1366
2 7 -0.0016 0.0993 0.0298
2 8 0.0852 0.0293 0.0346
2 9 -0.1003 -0.1893 -0.1729
2 10 0.0754 0.0646 0.2188
2 11 0.1146 0.0892 0.0473
2 12 -0.0268 0.1162 0.2310
2 13 0.3050 -1.0695 -0.3362
2 14 0.3315 -0.3473 -0.1312
2 15 -0.5027 -0.3107 -0.2657
2 16 0.9980 0.8729 0.7606
2 17 0.0012 -0.0742 0.0031
2 18 -0.0204 0.0102 -0.0011
2 19 0.1912 0.0950 -0.1479
2 20 0.0180 0.0017 -0.0021
