# A0	H_PF	H_EL	H_PH	H_INT	H_DSE
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.010000 -0.011977 -0.002811 -0.000078 0.005771 -0.014860
0.020000 -0.047878 -0.011259 -0.000322 0.023078 -0.059375
0.030000 -0.107608 -0.025396 -0.000767 0.051903 -0.133348
0.040000 -0.191011 -0.045304 -0.001470 0.092216 -0.236453
0.050000 -0.297871 -0.071098 -0.002509 0.143980 -0.368244
0.060000 -0.427914 -0.102922 -0.003985 0.207153 -0.528159
0.070000 -0.580807 -0.140946 -0.006023 0.281691 -0.715529
0.080000 -0.756167 -0.185365 -0.008768 0.367554 -0.929588
0.090000 -0.953560 -0.236396 -0.012387 0.464708 -1.169485
0.100000 -1.172502 -0.294273 -0.017067 0.573132 -1.434294
0.110000 -1.412469 -0.359246 -0.023018 0.692817 -1.723022
0.120000 -1.672894 -0.431576 -0.030468 0.823774 -2.034624
0.130000 -1.953174 -0.511537 -0.039663 0.966036 -2.368010
0.140000 -2.252674 -0.599404 -0.050868 1.119655 -2.722057
0.150000 -2.570728 -0.695457 -0.064365 1.284708 -3.095614
0.160000 -2.906642 -0.799978 -0.080450 1.461300 -3.487514
0.170000 -3.259701 -0.913244 -0.099434 1.649554 -3.896577
0.180000 -3.629170 -1.035528 -0.121638 1.849620 -4.321624
0.190000 -4.014295 -1.167095 -0.147393 2.061669 -4.761475
0.200000 -4.414311 -1.308197 -0.177038 2.285886 -5.214962
0.210000 -4.828439 -1.459074 -0.210915 2.522475 -5.680925
0.220000 -5.255893 -1.619946 -0.249363 2.771644 -6.158228
0.230000 -5.695885 -1.791015 -0.292721 3.033607 -6.645754
0.240000 -6.147621 -1.972460 -0.341318 3.308569 -7.142412
0.250000 -6.610309 -2.164430 -0.395466 3.596723 -7.647136
0.260000 -7.083163 -2.367047 -0.455460 3.898237 -8.158892
0.270000 -7.565400 -2.580403 -0.521565 4.213242 -8.676674
0.280000 -8.056248 -2.804551 -0.594015 4.541823 -9.199505
0.290000 -8.554948 -3.039514 -0.673000 4.884002 -9.726437
0.300000 -9.060752 -3.285271 -0.758663 5.239726 -10.256545
0.310000 -9.572932 -3.541766 -0.851087 5.608849 -10.788928
0.320000 -10.090777 -3.808904 -0.950291 5.991120 -11.322701
0.330000 -10.613599 -4.086549 -1.056219 6.386162 -11.856992
0.340000 -11.140730 -4.374527 -1.168732 6.793459 -12.390930
0.350000 -11.671530 -4.672627 -1.287597 7.212336 -12.923643
0.360000 -12.205384 -4.980602 -1.412486 7.641943 -13.454240
0.370000 -12.741702 -5.298173 -1.542961 8.081239 -13.981807
0.380000 -13.279925 -5.625034 -1.678475 8.528977 -14.505393
0.390000 -13.819519 -5.960853 -1.818363 8.983692 -15.023995
0.400000 -14.359981 -6.305283 -1.961842 9.443690 -15.536547
