# A0	H_PF	H_EL	H_PH	H_INT	H_DSE
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.010000 -0.013816 -0.004019 -0.001016 0.010063 -0.018844
0.020000 -0.055225 -0.016093 -0.004073 0.040227 -0.075285
0.030000 -0.124106 -0.036273 -0.009204 0.090419 -0.169049
0.040000 -0.220265 -0.064638 -0.016463 0.160519 -0.299682
0.050000 -0.343425 -0.101303 -0.025923 0.250359 -0.466559
0.060000 -0.493239 -0.146409 -0.037680 0.359736 -0.668885
0.070000 -0.669285 -0.200125 -0.051850 0.488404 -0.905712
0.080000 -0.871070 -0.262646 -0.068570 0.636089 -1.175944
0.090000 -1.098037 -0.334186 -0.087994 0.802493 -1.478350
0.100000 -1.349566 -0.414978 -0.110300 0.987294 -1.811582
0.110000 -1.624975 -0.505272 -0.135681 1.190161 -2.174184
0.120000 -1.923532 -0.605326 -0.164349 1.410753 -2.564611
0.130000 -2.244450 -0.715407 -0.196533 1.648732 -2.981242
0.140000 -2.586902 -0.835786 -0.232480 1.903762 -3.422399
0.150000 -2.950016 -0.966732 -0.272445 2.175518 -3.886358
0.160000 -3.332888 -1.108508 -0.316701 2.463687 -4.371365
0.170000 -3.734581 -1.261372 -0.365527 2.767971 -4.875653
0.180000 -4.154132 -1.425565 -0.419206 3.088089 -5.397450
0.190000 -4.590563 -1.601312 -0.478028 3.423772 -5.934994
0.200000 -5.042873 -1.788821 -0.542278 3.774763 -6.486538
0.210000 -5.510057 -1.988271 -0.612234 4.140812 -7.050364
0.220000 -5.991098 -2.199819 -0.688162 4.521666 -7.624783
0.230000 -6.484981 -2.423589 -0.770311 4.917061 -8.208142
0.240000 -6.990693 -2.659677 -0.858903 5.326714 -8.798828
0.250000 -7.507226 -2.908141 -0.954127 5.750304 -9.395262
0.260000 -8.033580 -3.169007 -1.056132 6.187461 -9.995903
0.270000 -8.568772 -3.442265 -1.165016 6.637748 -10.599239
0.280000 -9.111833 -3.727867 -1.280822 7.100640 -11.203784
0.290000 -9.661811 -4.025730 -1.403521 7.575509 -11.808069
0.300000 -10.217777 -4.335737 -1.533010 8.061601 -12.410631
0.310000 -10.778823 -4.657733 -1.669100 8.558014 -13.010004
0.320000 -11.344067 -4.991534 -1.811505 9.063676 -13.604704
0.330000 -11.912649 -5.336925 -1.959839 9.577333 -14.193217
0.340000 -12.483739 -5.693667 -2.113605 10.097519 -14.773986
0.350000 -13.056529 -6.061494 -2.272193 10.622549 -15.345392
0.360000 -13.630239 -6.440127 -2.434872 11.150504 -15.905745
0.370000 -14.204114 -6.829270 -2.600796 11.679219 -16.453268
0.380000 -14.777422 -7.228620 -2.768998 12.206282 -16.986086
0.390000 -15.349455 -7.637875 -2.938401 12.729037 -17.502216
0.400000 -15.919524 -8.056731 -3.107820 13.244584 -17.999557
