# A0	H_PF	H_EL	H_PH	H_INT	H_DSE
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.010000 -0.017810 -0.006271 -0.001933 0.016396 -0.026002
0.020000 -0.071169 -0.025110 -0.007761 0.065554 -0.103852
0.030000 -0.159866 -0.056585 -0.017578 0.147380 -0.233083
0.040000 -0.283554 -0.100814 -0.031537 0.261726 -0.412929
0.050000 -0.441750 -0.157953 -0.049854 0.408399 -0.642342
0.060000 -0.633844 -0.228197 -0.072805 0.587170 -0.920013
0.070000 -0.859105 -0.311773 -0.100729 0.797796 -1.244399
0.080000 -1.116688 -0.408936 -0.134024 1.040024 -1.613752
0.090000 -1.405642 -0.519961 -0.173146 1.313616 -2.026151
0.100000 -1.724921 -0.645135 -0.218611 1.618354 -2.479528
0.110000 -2.073391 -0.784755 -0.270985 1.954053 -2.971704
0.120000 -2.449843 -0.939117 -0.330886 2.320571 -3.500411
0.130000 -2.852997 -1.108510 -0.398976 2.717812 -4.063323
0.140000 -3.281516 -1.293213 -0.475958 3.145732 -4.658077
0.150000 -3.734016 -1.493484 -0.562571 3.604338 -5.282300
0.160000 -4.209070 -1.709557 -0.659576 4.093686 -5.933624
0.170000 -4.705222 -1.941633 -0.767754 4.613878 -6.609713
0.180000 -5.220992 -2.189875 -0.887893 5.165046 -7.308270
0.190000 -5.754890 -2.454395 -1.020769 5.747340 -8.027065
0.200000 -6.305419 -2.735254 -1.167133 6.360899 -8.763931
0.210000 -6.871091 -3.032446 -1.327690 7.005827 -9.516782
0.220000 -7.450429 -3.345897 -1.503073 7.682146 -10.283606
0.230000 -8.041981 -3.675453 -1.693823 8.389763 -11.062468
0.240000 -8.644324 -4.020883 -1.900359 9.128416 -11.851498
0.250000 -9.256075 -4.381870 -2.122953 9.897632 -12.648885
0.260000 -9.875897 -4.758014 -2.361705 10.696676 -13.452854
0.270000 -10.502505 -5.148834 -2.616518 11.524506 -14.261659
0.280000 -11.134669 -5.553766 -2.887069 12.379720 -15.073555
0.290000 -11.771227 -5.972172 -3.172788 13.260516 -15.886782
0.300000 -12.411076 -6.403348 -3.472837 14.164639 -16.699531
0.310000 -13.053190 -6.846526 -3.786082 15.089341 -17.509922
0.320000 -13.696608 -7.300888 -4.111084 16.031329 -18.315964
0.330000 -14.340444 -7.765577 -4.446076 16.986729 -19.115520
0.340000 -14.983882 -8.239709 -4.788956 17.951046 -19.906263
0.350000 -15.626175 -8.722392 -5.137289 18.919139 -20.685634
0.360000 -16.266644 -9.212743 -5.488307 19.885208 -21.450801
0.370000 -16.904666 -9.709911 -5.838936 20.842798 -22.198618
0.380000 -17.539676 -10.213095 -6.185815 21.784829 -22.925595
0.390000 -18.171150 -10.721571 -6.525345 22.703643 -23.627876
0.400000 -18.798601 -11.234713 -6.853736 23.591081 -24.301233
