   Atom                     Volume(s)
  ------------------------------------------------------------------------
     1   ...       6
     2   ...      10
     3   ...      11
     4   ...       8
     5   ...       2
     6   ...       4
     7   ...       9
     8   ...       7
     9   ...       1
    10   ...      12
    11   ...      13
    12   ...      14
    13   ...       5
    14   ...       3
  ------------------------------------------------------------------------
