    #         X           Y           Z        CHARGE     ATOM    DISTANCE
  -------------------------------------------------------------------------
    1     -3.3586     -2.3676     -0.0001      2.8559      13      0.1125
    2     -4.5737     -3.9461     -0.0001      0.4655      14      0.1623
    3     -4.8775      0.0000     -0.0001      2.8839       5      0.1234
    4     -6.7002      0.0000     -0.0001      0.5465       9      0.1026
    5      4.2358     -2.1046     -0.0001      4.1686      11      0.1039
    6      3.3244      0.0000     -0.0001      3.3820      10      0.1021
    7      4.2358      2.1046     -0.0001      4.1680      12      0.1039
    8     -4.5737      3.9462     -0.0001      0.4651       6      0.1624
    9     -3.3586      2.3677     -0.0001      2.8557       1      0.1125
   10     -0.9284     -2.3676     -0.0001      3.0355       4      0.1349
   11      0.5905      0.0000     -0.0001      2.6707       3      0.1315
   12     -0.9284      2.3677     -0.0001      3.0357       2      0.1351
   13      0.2867     -3.9461     -0.0001      0.4464       8      0.1056
   14      0.2867      3.9462     -0.0001      0.4464       7      0.1055
  -------------------------------------------------------------------------
