0 0 0.0 -0.0 -0.010196
0 1 -0.0 0.0 0.0
0 2 -0.0 0.8434364 -0.0
0 3 -0.0 -0.3987684 0.0
0 4 0.0 -0.0 -0.4535526
0 5 0.0 0.0 0.0
0 6 0.0 0.8609418 0.0
0 7 0.0 0.9107203 -0.0
0 8 -0.0 -0.0 0.0025832
0 9 0.0 -0.0 0.0
0 10 0.0 -0.360551 0.0
0 11 -0.0 0.0 -0.9050847
0 12 -0.1394142 0.0 -0.0
0 13 0.0 -0.0 -0.0503508
0 14 0.0 0.132254 -0.0
0 15 -0.0 -0.3891903 0.0
0 16 0.0 0.0 -0.4770305
0 17 0.0 -0.0 0.3192635
0 18 -0.5426955 0.0 -0.0
0 19 -0.2812601 0.0 0.0
0 20 0.4266283 -0.0 -0.0
0 21 0.0 0.0 -0.2673851
0 22 -0.0 -0.0898854 -0.0
0 23 0.0 -0.0 0.5178837
0 24 -0.0 -0.0 0.0
0 25 -0.1170215 0.0 -0.0
0 26 0.0 -0.0 0.0
0 27 -0.0 -0.364217 0.0
0 28 -0.0 -0.0 0.1140144
0 29 -0.4001357 0.0 0.0
0 30 0.0 -0.0 0.2688762
1 1 -0.0 -0.0 0.324133
1 2 -2.3382806 0.0 -0.0
1 3 0.153842 0.0 -0.0
1 4 -0.0 -0.0 0.0
1 5 0.0 0.0 -0.100075
1 6 1.6681266 0.0 -0.0
1 7 0.2949381 0.0 0.0
1 8 0.0 -0.0 0.0
1 9 -0.0 0.0 -0.8651048
1 10 0.7565049 -0.0 0.0
1 11 -0.0 0.0 -0.0
1 12 0.0 -0.0727137 0.0
1 13 0.0 -0.0 0.0
1 14 0.2256811 0.0 -0.0
1 15 -0.0626547 -0.0 0.0
1 16 0.0 -0.0 0.0
1 17 0.0 -0.0 0.0
1 18 0.0 -1.0101119 0.0
1 19 -0.0 0.1629852 0.0
1 20 -0.0 0.2833241 -0.0
1 21 -0.0 0.0 -0.0
1 22 0.0498489 0.0 0.0
1 23 0.0 -0.0 -0.0
1 24 0.0 -0.0 0.1718707
1 25 0.0 -0.0485335 -0.0
1 26 0.0 -0.0 0.9220173
1 27 -0.0200629 -0.0 -0.0
1 28 0.0 -0.0 0.0
1 29 0.0 -0.2052706 0.0
1 30 0.0 -0.0 -0.0
2 2 0.0 0.0 0.091754
2 3 0.0 0.0 -2.9111401
2 4 -0.0 -3.0793266 -0.0
2 5 2.0500437 -0.0 0.0
2 6 0.0 0.0 -0.363971
2 7 -0.0 -0.0 0.352811
2 8 -0.0 0.5806611 0.0
2 9 0.6438146 -0.0 0.0
2 10 -0.0 0.0 0.1889169
2 11 0.0 -0.0261573 -0.0
2 12 0.0 0.0 0.0
2 13 -0.0 0.1102355 -0.0
2 14 -0.0 -0.0 0.6498176
2 15 0.0 0.0 -0.1385391
2 16 -0.0 0.1565675 0.0
2 17 0.0 -0.9788253 0.0
2 18 0.0 0.0 -0.0
2 19 -0.0 0.0 -0.0
2 20 -0.0 0.0 -0.0
2 21 -0.0 0.0659244 -0.0
2 22 0.0 -0.0 0.044376
2 23 -0.0 0.1060725 -0.0
2 24 -0.0070835 -0.0 0.0
2 25 0.0 0.0 0.0
2 26 -0.0224795 0.0 -0.0
2 27 -0.0 -0.0 0.9449269
