0  -3066.7694213629447
1  -3061.9550213629445
2  -3061.628121362945
3  -3061.011121362945
4  -3060.8402213629447
5  -3058.6300213629447
6  -3057.778921362945
7  -3057.2698213629446
8  -3057.2462213629447
9  -3056.6017213629448
10  -3055.9586213629445
11  -3054.4787213629447
12  -3052.805021362945
13  -3052.7938213629445
14  -3052.3352213629446
15  -3051.7383213629446
16  -3051.6153213629445
17  -3051.395421362945
18  -3051.284321362945
19  -3050.6821213629446
20  -3050.6626213629447
21  -3049.2678213629447
22  -3049.2574213629446
23  -3048.461521362945
24  -3048.2797213629447
25  -3048.1190213629447
26  -3048.014321362945
27  -3047.5926213629446
28  -3047.4270213629447
29  -3047.118821362945
30  -3047.1052213629446
