0  -3112.2167788189468
1  -3110.732178818947
2  -3108.324278818947
3  -3107.8617788189467
4  -3107.7468788189467
5  -3106.8729788189466
6  -3105.290178818947
7  -3105.148078818947
8  -3104.659078818947
9  -3104.194778818947
10  -3103.635878818947
11  -3103.6209788189467
12  -3103.5804788189466
13  -3102.995178818947
14  -3102.933378818947
15  -3102.716178818947
16  -3102.1604788189466
17  -3102.140578818947
18  -3101.6757788189466
19  -3101.5667788189467
20  -3101.2731788189467
21  -3101.2688788189466
22  -3101.1951788189467
23  -3100.7333788189467
24  -3100.6838788189466
25  -3100.132278818947
26  -3099.9966788189467
27  -3099.882278818947
28  -3099.8662788189467
29  -3099.2929788189467
30  -3099.1892788189466
